"","(Intercept)","ai","bio_1","bio_12","bio_15","bio_4","lat","srad","wind","df","logLik","AICc","delta","weight"
"69",-0.118,NA,NA,-0.182,NA,NA,NA,0.109,NA,5,-2106.876,4223.789,41.442,0
"98",-0.129,-0.122,NA,NA,NA,NA,0.109,0.08,NA,6,-2105.92,4223.894,41.546,0
"23",-0.133,NA,-0.183,-0.164,NA,-0.136,NA,NA,NA,6,-2105.992,4224.037,41.69,0
"226",-0.131,-0.128,NA,NA,NA,NA,0.08,0.064,0.044,7,-2105.017,4224.105,41.757,0
"59",-0.157,NA,-0.176,NA,0.084,-0.224,0.224,NA,NA,7,-2105.186,4224.444,42.096,0
"157",-0.126,NA,NA,-0.171,0.042,-0.067,NA,NA,0.125,7,-2105.218,4224.508,42.16,0
"234",-0.131,-0.116,NA,NA,0.033,NA,0.08,0.054,0.054,8,-2104.234,4224.559,42.212,0
"70",-0.123,0.078,NA,-0.255,NA,NA,NA,0.133,NA,6,-2106.393,4224.839,42.492,0
"106",-0.129,-0.113,NA,NA,0.023,NA,0.114,0.075,NA,7,-2105.509,4225.089,42.742,0
"158",-0.122,-0.066,NA,-0.111,0.037,-0.061,NA,NA,0.118,8,-2104.599,4225.29,42.943,0
"150",-0.122,-0.083,NA,-0.112,NA,-0.067,NA,NA,0.111,7,-2105.658,4225.388,43.04,0
"149",-0.127,NA,NA,-0.191,NA,-0.077,NA,NA,0.119,6,-2106.669,4225.391,43.044,0
"170",-0.128,-0.13,NA,NA,0.045,NA,0.051,NA,0.081,7,-2105.825,4225.72,43.373,0
"138",-0.123,-0.146,NA,NA,0.041,NA,NA,NA,0.1,6,-2106.849,4225.752,43.404,0
"77",-0.119,NA,NA,-0.183,-0.004,NA,NA,0.11,NA,6,-2106.865,4225.784,43.436,0
"135",-0.145,NA,-0.075,-0.135,NA,NA,NA,NA,0.086,6,-2106.869,4225.79,43.443,0
"85",-0.118,NA,NA,-0.182,NA,0,NA,0.109,NA,6,-2106.876,4225.804,43.457,0
"155",-0.16,NA,-0.219,NA,0.095,-0.11,NA,NA,0.117,7,-2105.954,4225.979,43.632,0
"141",-0.132,NA,NA,-0.142,0.05,NA,NA,NA,0.11,6,-2107.116,4226.286,43.938,0
"142",-0.126,-0.083,NA,-0.07,0.042,NA,NA,NA,0.103,7,-2106.11,4226.29,43.943,0
"194",-0.123,-0.155,NA,NA,NA,NA,NA,0.039,0.083,6,-2107.123,4226.3,43.952,0
"130",-0.123,-0.163,NA,NA,NA,NA,NA,NA,0.091,5,-2108.205,4226.448,44.101,0
"154",-0.119,-0.158,NA,NA,0.037,-0.037,NA,NA,0.109,7,-2106.192,4226.455,44.107,0
"146",-0.119,-0.175,NA,NA,NA,-0.044,NA,NA,0.102,6,-2107.27,4226.593,44.245,0
"202",-0.123,-0.143,NA,NA,0.033,NA,NA,0.028,0.092,7,-2106.327,4226.726,44.379,0
"78",-0.124,0.079,NA,-0.258,-0.006,NA,NA,0.135,NA,7,-2106.369,4226.809,44.461,0
"86",-0.123,0.078,NA,-0.254,NA,0.001,NA,0.133,NA,7,-2106.393,4226.856,44.509,0
"167",-0.144,NA,-0.097,-0.143,NA,NA,-0.042,NA,0.099,7,-2106.435,4226.942,44.594,0
"162",-0.127,-0.151,NA,NA,NA,NA,0.043,NA,0.074,6,-2107.471,4226.996,44.649,0
"134",-0.126,-0.105,NA,-0.066,NA,NA,NA,NA,0.093,6,-2107.559,4227.171,44.824,0
"174",-0.129,-0.094,NA,-0.044,0.045,NA,0.04,NA,0.087,8,-2105.579,4227.25,44.903,0
"210",-0.12,-0.165,NA,NA,NA,-0.028,NA,0.028,0.092,7,-2106.818,4227.707,45.359,0
"173",-0.135,NA,NA,-0.13,0.053,NA,0.029,NA,0.099,7,-2106.826,4227.723,45.375,0
"93",-0.119,NA,NA,-0.184,-0.004,-0.001,NA,0.11,NA,7,-2106.865,4227.801,45.454,0
"218",-0.12,-0.153,NA,NA,0.033,-0.028,NA,0.018,0.101,8,-2106.026,4228.143,45.796,0
"166",-0.128,-0.115,NA,-0.045,NA,NA,0.032,NA,0.08,7,-2107.221,4228.513,46.166,0
"133",-0.134,NA,NA,-0.161,NA,NA,NA,NA,0.1,5,-2109.25,4228.539,46.191,0
"94",-0.124,0.079,NA,-0.258,-0.006,0,NA,0.135,NA,8,-2106.369,4228.829,46.481,0
"165",-0.136,NA,NA,-0.154,NA,NA,0.016,NA,0.094,6,-2109.159,4230.371,48.024,0
"42",-0.122,-0.134,NA,NA,0.037,NA,0.093,NA,NA,6,-2109.368,4230.79,48.442,0
"34",-0.122,-0.151,NA,NA,NA,NA,0.083,NA,NA,5,-2110.481,4231,48.652,0
"15",-0.135,NA,-0.118,-0.114,0.051,NA,NA,NA,NA,6,-2109.667,4231.388,49.04,0
"139",-0.158,NA,-0.147,NA,0.094,NA,NA,NA,0.102,6,-2109.871,4231.795,49.448,0
"121",-0.149,NA,NA,NA,0.057,-0.131,0.274,0.085,NA,7,-2108.889,4231.848,49.501,0
"249",-0.151,NA,NA,NA,0.065,-0.127,0.248,0.07,0.039,8,-2108.215,4232.52,50.173,0
"47",-0.137,NA,-0.098,-0.106,0.053,NA,0.034,NA,NA,7,-2109.307,4232.684,50.337,0
"46",-0.122,-0.134,NA,0.001,0.037,NA,0.093,NA,NA,7,-2109.368,4232.807,50.46,0
"38",-0.122,-0.149,NA,-0.003,NA,NA,0.083,NA,NA,6,-2110.48,4233.013,50.666,0
"66",-0.11,-0.166,NA,NA,NA,NA,NA,0.056,NA,5,-2111.677,4233.393,51.045,0
"179",-0.17,NA,-0.175,NA,NA,-0.209,0.175,NA,0.065,7,-2109.737,4233.545,51.197,0
"171",-0.158,NA,-0.137,NA,0.093,NA,0.016,NA,0.096,7,-2109.798,4233.666,51.319,0
"7",-0.136,NA,-0.102,-0.137,NA,NA,NA,NA,NA,5,-2111.843,4233.723,51.376,0
"82",-0.112,-0.16,NA,NA,NA,0.016,NA,0.061,NA,6,-2111.559,4235.172,52.824,0
"74",-0.109,-0.163,NA,NA,0.01,NA,NA,0.053,NA,6,-2111.6,4235.253,52.905,0
"39",-0.138,NA,-0.088,-0.132,NA,NA,0.024,NA,NA,6,-2111.663,4235.379,53.031,0
"113",-0.154,NA,NA,NA,NA,-0.124,0.269,0.105,NA,6,-2111.71,4235.473,53.126,0
"185",-0.15,NA,NA,NA,0.087,-0.147,0.235,NA,0.073,7,-2111.002,4236.074,53.727,0
"51",-0.165,NA,-0.17,NA,NA,-0.224,0.225,NA,NA,6,-2112.012,4236.078,53.73,0
"2",-0.108,-0.18,NA,NA,NA,NA,NA,NA,NA,4,-2114.057,4236.14,53.793,0
"45",-0.129,NA,NA,-0.121,0.047,NA,0.088,NA,NA,6,-2112.067,4236.187,53.839,0
"105",-0.148,NA,NA,NA,0.054,NA,0.17,0.1,NA,6,-2112.287,4236.628,54.281,0
"233",-0.15,NA,NA,NA,0.062,NA,0.144,0.083,0.045,7,-2111.405,4236.881,54.533,0
"90",-0.112,-0.155,NA,NA,0.011,0.018,NA,0.058,NA,7,-2111.458,4236.987,54.639,0
"241",-0.155,NA,NA,NA,NA,-0.123,0.258,0.1,0.016,7,-2111.586,4237.243,54.896,0
"10",-0.107,-0.172,NA,NA,0.022,NA,NA,NA,NA,5,-2113.64,4237.319,54.971,0
"6",-0.11,-0.134,NA,-0.052,NA,NA,NA,NA,NA,5,-2113.649,4237.335,54.988,0
"37",-0.131,NA,NA,-0.143,NA,NA,0.074,NA,NA,5,-2113.904,4237.846,55.499,0
"18",-0.106,-0.184,NA,NA,NA,-0.011,NA,NA,NA,5,-2113.998,4238.034,55.687,0
"14",-0.109,-0.124,NA,-0.054,0.023,NA,NA,NA,NA,6,-2113.205,4238.463,56.115,0
"22",-0.107,-0.129,NA,-0.067,NA,-0.023,NA,NA,NA,6,-2113.405,4238.863,56.516,0
"26",-0.106,-0.174,NA,NA,0.021,-0.005,NA,NA,NA,6,-2113.625,4239.303,56.956,0
"97",-0.153,NA,NA,NA,NA,NA,0.171,0.118,NA,5,-2114.771,4239.579,57.232,0
"57",-0.145,NA,NA,NA,0.081,-0.166,0.289,NA,NA,6,-2113.829,4239.71,57.363,0
"30",-0.107,-0.121,NA,-0.065,0.021,-0.018,NA,NA,NA,7,-2113.065,4240.201,57.854,0
"5",-0.118,NA,NA,-0.175,NA,NA,NA,NA,NA,4,-2116.454,4240.933,58.585,0
"13",-0.116,NA,NA,-0.164,0.033,NA,NA,NA,NA,5,-2115.51,4241.059,58.711,0
"147",-0.167,NA,-0.214,NA,NA,-0.106,NA,NA,0.105,6,-2114.529,4241.112,58.764,0
"225",-0.154,NA,NA,NA,NA,NA,0.158,0.111,0.023,6,-2114.533,4241.119,58.772,0
"43",-0.151,NA,-0.125,NA,0.084,NA,0.077,NA,NA,6,-2114.785,4241.624,59.277,0
"27",-0.149,NA,-0.233,NA,0.084,-0.076,NA,NA,NA,6,-2114.791,4241.635,59.288,0
"21",-0.114,NA,NA,-0.189,NA,-0.033,NA,NA,NA,5,-2115.93,4241.897,59.55,0
"29",-0.113,NA,NA,-0.176,0.029,-0.025,NA,NA,NA,6,-2115.229,4242.511,60.163,0
"169",-0.149,NA,NA,NA,0.089,NA,0.109,NA,0.087,6,-2115.39,4242.834,60.486,0
"11",-0.148,NA,-0.18,NA,0.084,NA,NA,NA,NA,5,-2116.752,4243.542,61.194,0
"131",-0.165,NA,-0.145,NA,NA,NA,NA,NA,0.09,5,-2118.151,4246.339,63.992,0
"163",-0.165,NA,-0.129,NA,NA,NA,0.026,NA,0.081,6,-2117.966,4247.985,65.638,0
"177",-0.157,NA,NA,NA,NA,-0.153,0.244,NA,0.059,6,-2118.159,4248.372,66.024,0
"41",-0.143,NA,NA,NA,0.081,NA,0.156,NA,NA,5,-2119.465,4248.969,66.621,0
"49",-0.152,NA,NA,NA,NA,-0.168,0.288,NA,NA,5,-2120.03,4250.098,67.751,0
"217",-0.143,NA,NA,NA,0.073,0.048,NA,0.057,0.105,7,-2118.611,4251.293,68.945,0
"201",-0.141,NA,NA,NA,0.078,NA,NA,0.041,0.124,6,-2119.66,4251.373,69.026,0
"137",-0.141,NA,NA,NA,0.091,NA,NA,NA,0.137,5,-2120.768,4251.574,69.226,0
"153",-0.143,NA,NA,NA,0.091,0.024,NA,NA,0.13,6,-2120.46,4252.973,70.626,0
"35",-0.158,NA,-0.119,NA,NA,NA,0.077,NA,NA,5,-2121.548,4253.134,70.786,0
"19",-0.156,NA,-0.227,NA,NA,-0.076,NA,NA,NA,5,-2121.57,4253.179,70.831,0
