"","x"
"48","Hedyosmum_gentryi_D'_Arcy_&_Liesner"
"49","Canella_winterana_-L.-_Gaertn."
"50","Buxus_glomerata_-Griseb.-_Müll.Arg."
"51","Diclinanona_tessmannii_Diels"
"52","Zippelia_begoniifolia_Blume"
"53","Illicium_anisatum_L."
"54","Stegnosperma_cubense_A.Rich."
"55","Cordia_lutea_Lam."
"56","Tasmannia_membranea_-F.Muell.-_A.C.Sm."
"57","Aristolochia_maxima_Jacq."
"58","Aceratium_ledermannii_Schltr."
"59","Ascarina_maheshwarii_Swamy"
"60","Hedyosmum_luteynii_Todzia"
"61","Ripogonum_elseyanum_F.Muell."
"62","Alzatea_verticillata_Ruiz_&_Pav."
"63","Muntingia_calabura_L."
"64","Monimia_rotundifolia_Thouars"
"65","Galbulimima_baccata_F.M.Bailey"
"66","Eschscholzia_palmeri_Rose"
"67","Carpodetus_serratus_J.R.Forst._&_G.Forst."
"68","Kadsura_coccinea_-Lem.-_A.C.Sm."
"69","Annickia_letestui_-Le_Thomas-_Setten_&_Maas"
"70","Caryodaphnopsis_tonkinensis_-Lecomte-_Airy_Shaw"
"71","Ascarina_polystachya_J.R.Forst._&_G.Forst."
"72","Hedyosmum_arborescens_Sw."
"73","Buxus_hildebrandtii_Baill."
"74","Knema_malayana_Warb."
"75","Hedyosmum_brenesii_Standl."
"76","Magnolia_figo_-Lour.-_DC."
"77","Akania_bidwillii_-Hend._ex_Hogg-_Mabb."
"78","Liriodendron_tulipifera_L."
"79","Rosa_micrantha_Borrer_ex_Sm."
"80","Platanus_wrightii_S.Watson"
"81","Hedyosmum_cumbalense_H.Karst."
"82","Ripogonum_scandens_J.R.Forst._&_G.Forst."
"83","Trochodendron_aralioides_Siebold_&_Zucc."
"84","Paracryphia_alticola_-Schltr.-_Steenis"
"85","Ripogonum_brevifolium_Conran_&_Clifford"
"86","Tamarix_africana_Poir."
"87","Conospermum_mitchellii_Meisn."
"88","Hedyosmum_costaricense_C.E.Wood_ex_W.C.Burger"
"89","Davilla_latifolia_Casar."
"90","Laurelia_sempervirens_-Ruiz_&_Pav.-_Tul."
"91","Magnolia_baillonii_Pierre"
"92","Staudtia_kamerunensis_Warb."
"93","Bonnetia_ahogadoi_-Steyerm.-_A.L.Weitzman_&_P.F.Stevens"
"94","Hypodaphnis_zenkeri_-Engl.-_Stapf"
"95","Atherosperma_moschatum_Labill."
"96","Mida_salicifolia_A.Cunn."
"97","Mkilua_fragrans_Verdc."
"98","Hottonia_palustris_L."
"99","Piper_auritum_Kunth"
"100","Duabanga_grandiflora_-Roxb._ex_DC.-_Walp."
"101","Medusandra_richardsiana_Brenan"
"102","Diapensia_purpurea_Diels"
"103","Aristolochia_kaempferi_Willd."
"104","Macropeplus_ligustrinus_Perkins"
"105","Berberis_fremontii_Torr."
"106","Drosera_madagascariensis_DC."
"107","Balanites_maughamii_Sprague"
"108","Beauprea_spathulifolia_Brongn._&_Gris"
"109","Aspidostemon_parvifolius_-Scott_Elliot-_van_der_Werff"
"110","Oblivia_mikanioides_-Britton-_Strother"
"111","Cinnamosma_madagascariensis_Danguy"
"112","Gomortega_keule_-Molina-_Baill."
"113","Pseudowintera_colorata_-Raoul-_Dandy"
"114","Ascarina_philippinensis_C.B.Rob."
"115","Huodendron_biaristatum_-W.W.Sm.-_Rehder"
"116","Erythropalum_scandens_Blume"
"117","Polygala_macradenia_A.Gray"
"118","Espadaea_amoena_A.Rich."
"119","Dendromecon_harfordii_Kellogg"
"120","Phylloxylon_xylophylloides_-Baker-_Du_Puy-_Labat_&_Schrire"
"121","Styloceras_brokawii_A.H.Gentry_&_R.B.Foster"
"122","Drimys_roraimensis_-A.C.Sm.-_Ehrend.-_I.Silberbauer-Gottsberger_&_Gottsb."
"123","Thottea_tomentosa_-Blume-_Ding_Hou"
"124","Anaxagorea_gigantophylla_R.E.Fr."
"125","Perichasma_laetificata_Miers"
"126","Aristolochia_sempervirens_L."
"127","Hydrangea_heteromalla_D.Don"
"128","Hedyosmum_translucidum_Cuatrec."
"129","Anaxagorea_phaeocarpa_Mart."
"130","Thalictrum_decipiens_B.Boivin"
"131","Doryphora_sassafras_Endl."
"132","Curtisia_dentata_-Burm.fil.-_C.A.Sm."
"133","Nicotiana_fragrans_Hook."
"134","Nekemias_cantoniensis_-Hook._&_Arn.-_J.Wen_&_Z.L.Nie"
"135","Peumus_boldus_Molina"
"136","Cissus_granulosa_Ruiz_&_Pav."
"137","Viscainoa_geniculata_-Kellogg-_Greene"
"138","Cinnamosma_fragrans_Baill."
"139","Piper_cinereum_C.DC."
"140","Desbordesia_glaucescens_-Engl.-_Tiegh."
"141","Didymeles_integrifolia_J.St.-Hil."
"142","Horsfieldia_punctatifolia_J.Sinclair"
"143","Siparuna_cristata_-Poepp._&_Endl.-_A.DC."
"144","Zygophyllum_album_L.fil."
"145","Palmeria_scandens_F.Muell."
"146","Zinowiewia_australis_Lundell"
"147","Fortunearia_sinensis_Rehder_&_E.H.Wilson"
"148","Plumbago_auriculata_Lam."
"149","Basistemon_silvaticus_-Herzog-_Baehni_&_J.F.Macbr."
"150","Fissistigma_oldhamii_-Hemsl.-_Merr."
"151","Euclea_divinorum_Hiern"
"152","Lepidobotrys_staudtii_Engl."
"153","Comandra_umbellata_-L.-_Nutt."
"154","Batesia_floribunda_Spruce_ex_Benth."
"155","Schisandra_chinensis_-Turcz.-_Baill."
"156","Illicium_fargesii_Finet_&_Gagnep."
"157","Cyrillopsis_paraensis_Kuhlm."
"158","Hedyosmum_spectabile_Todzia"
"159","Sedum_hirsutum_All."
"160","Chaetocarpus_africanus_Pax"
"161","Strombosiopsis_tetrandra_Engl."
"162","Ixonanthes_reticulata_Jack"
"163","Phoradendron_robinsonii_Urb."
"164","Eupomatia_bennettii_F.Muell."
"165","Leucadendron_levisanus_-L.-_P.J.Bergius"
"166","Didymeles_perrieri_Leandri"
"167","Hedyosmum_bonplandianum_Kunth"
"168","Alangium_nobile_-C.B.Clarke-_Harms"
"169","Hedyosmum_lechleri_Solms"
"170","Athertonia_diversifolia_-C.T.White-_L.A.S.Johnson_&_B.G.Briggs"
"171","Schizomeria_ovata_D.Don"
"172","Buxus_vahlii_Baill."
"173","Hedyosmum_strigosum_Todzia"
"174","Anaxagorea_brachycarpa_R.E.Fr."
"175","Kiggelaria_africana_L."
"176","Dilobeia_thouarsii_Roem._&_Schult."
"177","Xanthorhiza_simplicissima_Marshall"
"178","Horsfieldia_spicata_-Roxb.-_J.Sinclair"
"179","Tetracentron_sinense_Oliv."
"180","Limonium_axillare_-Forssk.-_Kuntze"
"181","Hedyosmum_peruvianum_Todzia"
"182","Leea_angulata_Korth._ex_Miq."
"183","Aristolochia_malacophylla_Standl."
"184","Cissampelos_grandifolia_Triana_&_Planch."
"185","Oncotheca_balansae_Baill."
"186","Kirkia_acuminata_Oliv."
"187","Mezzettia_parviflora_Becc."
"188","Sabia_campanulata_Wall."
"189","Gyrocarpus_americanus_Jacq."
"190","Saurauia_conferta_Warb."
"191","Berberis_harrisoniana_Kearney_&_Peebles"
"192","Ophiocaryon_heterophyllum_-Benth.-_Urb."
"193","Calycanthus_occidentalis_Hook._&_Arn."
"194","Bosea_yervamora_L."
"195","Atroxima_liberica_Stapf"
"196","Norantea_guianensis_Aubl."
"197","Rhoiptelea_chiliantha_Diels_&_Hand.-Mazz."
"198","Magnolia_compressa_Maxim."
"199","Paeonia_delavayi_Franch."
"200","Paranephelium_macrophyllum_King"
"201","Streptothamnus_moorei_F.Muell."
"202","Piper_amalago_L."
"203","Piper_carrilloanum_C.DC."
"204","Tasmannia_insipida_R.Br._ex_DC."
"205","Bellendena_montana_R.Br."
"206","Fothergilla_major_-Sims-_Lodd."
"207","Aextoxicon_punctatum_Ruiz_&_Pav."
"208","Vantanea_guianensis_Aubl."
"209","Thottea_siliquosa_-Lam.-_Ding_Hou"
"210","Clematis_pickeringii_A.Gray"
"211","Unonopsis_stipitata_Diels"
"212","Anacolosa_griffithii_Mast."
"213","Alvaradoa_arborescens_Griseb."
"214","Decaisnea_fargesii_Franch."
"215","Ripogonum_fawcettianum_F.Muell._ex_Benth."
"216","Liriodendron_chinense_-Hemsl.-_Sarg."
"217","Nothotalisia_peruviana_-Standl.-_W.W.Thomas"
"218","Bhesa_paniculata_Arn."
"219","Menispermum_dauricum_DC."
"220","Geranium_arabicum_Forssk."
"221","Alangium_villosum_subsp._polyosmoides_-F.Muell.-_Bloemb."
"222","Peperomia_argyreia_-Miq.-_É.Morren"
"223","Lomatia_dentata_-Ruiz_&_Pav.-_R.Br."
"224","Coula_edulis_Baill."
"225","Buxus_balearica_Lam."
"226","Schisandra_sphenanthera_Rehder_&_E.H.Wilson"
"227","Elaeocarpus_arnhemicus_F.Muell."
"228","Crassula_arborescens_-Mill.-_Willd."
"229","Drepananthus_kingii_-Boerl._ex_Koord.-_Survesw._&_R.M.K.Saunders"
"230","Platanus_racemosa_Nutt."
"231","Drimys_andina_-Reiche-_R.A.Rodr._&_Quezada"
"232","Aphanopetalum_resinosum_Endl."
"233","Neillia_sinensis_Oliv."
"234","Tetrastylidium_peruvianum_Sleumer"
"235","Siparuna_brasiliensis_-Spreng.-_A.DC."
"236","Ptychopetalum_petiolatum_Oliv."
"237","Ximenia_americana_L."
"238","Lardizabala_funaria_-Molina-_Looser"
"239","Chlorocardium_rodiei_-R.H.Schomb.-_Rohwer-_H.G.Richt._&_van_der_Werff"
"240","Chrysosplenium_ramosum_Maxim."
"241","Potoxylon_melagangai_-Symington-_Kosterm."
"242","Bocconia_frutescens_L."
"243","Buxus_sempervirens_L."
"244","Persoonia_amaliae_Domin"
"245","Drypetes_principum_-Müll.Arg.-_Hutch."
"246","Ilex_dipyrena_Wall."
"247","Cryptocarya_subtriplinervia_-Kosterm.-_van_der_Werff"
"248","Begonia_dichotoma_Jacq."
"249","Dichroa_febrifuga_Lour."
"250","Meliosma_dentata_-Liebm.-_Urb."
"251","Riedeliella_graciliflora_Harms"
"252","Cremastosperma_yamayakatense_Pirie"
"253","Malagasia_alticola_-Capuron-_L.A.S.Johnson_&_B.G.Briggs"
"254","Levieria_acuminata_-F.Muell.-_Perkins"
"255","Suriana_maritima_L."
"256","Illicium_henryi_Diels"
"257","Ticodendron_incognitum_Gómez-Laur._&_L.D.Gómez"
"258","Aristolochia_praevenosa_F.Muell."
"259","Napoleonaea_vogelii_Hook._&_Planch."
"260","Boquila_trifoliolata_-DC.-_Decne."
"261","Soyauxia_gabonensis_Oliv."
"262","Liquidambar_orientalis_Mill."
"263","Donatia_fascicularis_J.R.Forst._&_G.Forst."
"264","Ranunculus_praemorsus_Kunth_ex_DC."
"265","Heisteria_cauliflora_Sm."
"266","Magnolia_insignis_Wall."
"267","Osbeckia_nepalensis_Hook."
"268","Trochodendron_aralioides_Siebold_&_Zucc."
"269","Chimonanthus_praecox_-L.-_Link"
"270","Buxus_portoricensis_Alain"
"271","Hedyosmum_dombeyanum_Solms"
"272","Irvingia_malayana_Oliv._ex_A.W.Benn."
"273","Hibbertia_commutata_Steud."
"274","Cayratia_triternata_-Baker-_Desc."
"275","Corylopsis_pauciflora_Siebold_&_Zucc."
"276","Disanthus_cercidifolius_Maxim."
"277","Sarcococca_wallichii_Stapf"
"278","Berberidopsis_beckleri_-F.Muell.-_Veldkamp"
"279","Cleistopholis_glauca_Pierre_ex_Engl._&_Diels"
"280","Davilla_cuspidulata_Mart._ex_Eichler"
"281","Itea_yunnanensis_Franch."
"282","Magnolia_utilis_-Dandy-_V.S.Kumar"
"283","Bubbia_queenslandiana_subsp._australis_Vink"
"284","Hedyosmum_anisodorum_Todzia"
"285","Anaxagorea_pachypetala_-Diels-_R.E.Fr."
"286","Thottea_penitilobata_Ding_Hou"
"287","Drimys_confertifolia_Phil."
"288","Styloceras_laurifolium_-Willd.-_Kunth"
"289","Compsoneura_sprucei_-A.DC.-_Warb."
"290","Akebia_quinata_-Houtt.-_Decne."
"291","Fendlera_rupicola_A.Gray"
"292","Picramnia_magnifolia_J.F.Macbr."
"293","Securinega_durissima_J.F.Gmel."
"294","Ruptiliocarpon_caracolito_Hammel_&_N.Zamora"
"295","Myristica_hollrungii_Warb."
"296","Carpinus_japonica_Blume"
"297","Soyauxia_floribunda_Hutch."
"298","Sarcococca_saligna_-D.Don-_Müll.Arg."
"299","Schinus_terebinthifolia_Raddi"
"300","Mezilaurus_synandra_-Mez-_Kosterm."
"301","Sladenia_celastrifolia_Kurz"
"302","Nepenthes_bicalcarata_Hook.fil."
"303","Dalbergiella_nyasae_Baker_f."
"304","Tasmannia_lanceolata_-Poir.-_A.C.Sm."
"305","Zygophyllum_eurypterum_Boiss._&_Buhse"
"306","Reevesia_thyrsoidea_Lindl."
"307","Meliosma_bogotana_Steyerm."
"308","Platanus_occidentalis_L."
"309","Pinzona_coriacea_Mart._&_Zucc."
"310","Magnolia_montana_-Blume-_Figlar"
"311","Afrostyrax_kamerunensis_Perkins_&_Gilg"
"312","Hedyosmum_nutans_Sw."
"313","Phoebe_excelsa_-Blume-_Nees"
"314","Hedyosmum_angustifolium_-Ruiz_&_Pav.-_Solms"
"315","Minquartia_guianensis_Aubl."
"316","Impatiens_buccinalis_Hook.fil."
"317","Heterostemon_conjugatus_Spruce_ex_Benth."
"318","Corylus_colurna_L."
"319","Kolobopetalum_leonense_Hutch._&_Dalziel"
"320","Diploclisia_glaucescens_-Blume-_Diels"
"321","Aristolochia_californica_Torr."
"322","Sloanea_woollsii_F.Muell."
"323","Euptelea_pleiosperma_Hook.fil._&_Thomson"
"324","Berberis_bealei_Fortune"
"325","Cocculus_laurifolius_DC."
"326","Piper_calcariforme_Tebbs"
"327","Cissampelos_andromorpha_DC."
"328","Harmandia_mekongensis_Baill."
"329","Stenocarpus_reticulatus_C.T.White"
"330","Vitis_retordii_Rom.Caill._ex_Planch."
"331","Strombosia_javanica_Blume"
"332","Stewartia_ovata_-Cav.-_Weath."
"333","Orites_myrtoideus_-Poepp._&_Endl.-_Engl."
"334","Terminalia_myriocarpa_Van_Heurck_&_Müll.Arg."
"335","Piper_capense_L.fil."
"336","Sericolea_micans_Schltr."
"337","Saurauia_tewensis_Korth."
"338","Salvadora_persica_L."
"339","Magnolia_mediocris_-Dandy-_Figlar"
"340","Anneslea_fragrans_Wall."
"341","Clematis_ibarensis_Baker"
"342","Magnolia_maudiae_-Dunn-_Figlar"
"343","Meliosma_idiopoda_S.F.Blake"
"344","Anaxagorea_rheophytica_Maas_&_Westra"
"345","Nitrophila_occidentalis_-Moq.-_S.Watson"
"346","Arcangelisia_flava_-L.-_Merr."
"347","Zygogynum_bicolor_Tiegh."
"348","Berzelia_abrotanoides_-L.-_Brongn."
"349","Gyrostemon_tepperi_-F.Muell._ex_H.Walter-_A.S.George"
"350","Greenwayodendron_oliveri_-Engl.-_Verdc."
"351","Ternstroemia_peduncularis_DC."
"352","Panopsis_pearcei_Rusby"
"353","Chaunochiton_kappleri_-Sagot_ex_Engl.-_Ducke"
"354","Dillenia_philippinensis_Rolfe"
"355","Litsea_caulocarpa_Merr."
"356","Triunia_youngiana_-C.Moore_&_F.Muell.-_L.A.S.Johnson_&_B.G.Briggs"
"357","Whiteodendron_moultonianum_-W.W.Sm.-_Steenis"
"358","Toronia_toru_-A.Cunn.-_L.A.S.Johnson_&_B.G.Briggs"
"359","Myristica_globosa_subsp._muelleri_-Warb.-_W.J.de_Wilde"
"360","Daphnandra_micrantha_-Tul.-_Benth."
"361","Clematis_napaulensis_DC."
"362","Drimys_granadensis_L.fil."
"363","Montiopsis_umbellata_-Ruiz_&_Pav.-_D.I.Ford"
"364","Marcgraviastrum_subsessile_-Benth.-_Bedell"
"365","Ximenia_caffra_Sond."
"366","Drosera_indica_L."
"367","Dorstenia_alta_Engl."
"368","Rosa_persica_Michx."
"369","Ampelopsis_cordata_Michx."
"370","Daphne_laureola_L."
"371","Cryptocarya_gracilis_Schltr."
"372","Hibbertia_baudouinii_Brongn._&_Gris"
"373","Bubbia_howeana_-F.Muell.-_Tiegh."
"374","Greyia_sutherlandii_Hook._&_Harv."
"375","Strombosia_ceylanica_Gardner"
"376","Stenocarpus_davallioides_Foreman_&_B.Hyland"
"377","Mauloutchia_heckelii_Capuron"
"378","Anaxagorea_petiolata_R.E.Fr."
"379","Alvaradoa_subovata_Cronquist"
"380","Artabotrys_velutinus_G.Elliot"
"381","Denhamia_oleaster_-Lindl.-_F.Muell."
"382","Faurea_forficuliflora_Baker"
"383","Crassula_multicava_Lem."
"384","Quercus_cocciferoides_Hand.-Mazz."
"385","Tetragonia_decumbens_Mill."
"386","Thottea_parviflora_Ridl."
"387","Eusideroxylon_zwageri_Teijsm._&_Binn."
"388","Berberis_nevinii_A.Gray_ex_A.Gray_&_S.Watson"
"389","Menispermum_canadense_L."
"390","Magnolia_laevifolia_-Y.W.Law_&_Y.F.Wu-_Noot."
"391","Strychnopsis_thouarsii_Baill."
"392","Xanthophyllum_ellipticum_Korth._ex_Miq."
"393","Rhodoleia_championii_Hook."
"394","Meliosma_sumatrana_-Jack-_Walp."
"395","Fenerivia_richardiana_-Baill.-_R.M.K.Saunders"
"396","Banksia_solandri_R.Br."
"397","Meliosma_alba_-Schltdl.-_Walp."
"398","Aeonium_urbicum_-C.Sm._ex_Hornem.-_Webb_&_Berthel."
"399","Hedraianthera_porphyropetala_F.Muell."
"400","Aristolochia_grandiflora_Sw."
"401","Frankenia_laevis_L."
"402","Leucospermum_cuneiforme_-Burm.fil.-_Rourke"
"403","Picramnia_guianensis_-Aubl.-_Jans.-Jac."
"404","Pennantia_corymbosa_J.R.Forst._&_G.Forst."
"405","Tetrastigma_laevigatum_-Blume-_Gagnep."
"406","Magnolia_floribunda_-Finet_&_Gagnep.-_Figlar"
"407","Gustavia_speciosa_-Kunth-_DC."
"408","Pachygone_loyaltiensis_Diels"
"409","Dillenia_indica_L."
"410","Persea_alba_Nees"
"411","Horsfieldia_amygdalina_-Wall._ex_Hook.fil._&_Thomson-_Warb."
"412","Piper_longum_L."
"413","Bucquetia_glutinosa_-L.fil.-_DC."
"414","Magnolia_chapensis_-Dandy-_Sima"
"415","Cissus_trianae_Planch."
"416","Saxifraga_mertensiana_Bong."
"417","Endiandra_montana_C.T.White"
"418","Aristolochia_pilosa_Kunth"
"419","Laurelia_novae-zelandiae_A.Cunn."
"420","Wilkiea_pubescens_-Benth.-_Whiffin_&_Foreman"
"421","Persea_schiedeana_Nees"
"422","Cercidiphyllum_magnificum_-Nakai-_Nakai"
"423","Mazaea_shaferi_-Standl.-_Delprete"
"424","Aristolochia_zollingeriana_Miq."
"425","Dapania_pentandra_Capuron"
"426","Sacoglottis_gabonensis_-Baill.-_Urb."
"427","Platea_latifolia_Blume"
"428","Cornus_alternifolia_L.f."
"429","Scutia_buxifolia_Reissek"
"430","Cotyledon_orbiculata_L."
"431","Viviania_marifolia_Cav."
"432","Myristica_iners_Blume"
"433","Balbisia_verticillata_Cav."
"434","Gerrardina_foliosa_Oliv."
"435","Ophrypetalum_odoratum_Diels"
"436","Casuarina_equisetifolia_L."
"437","Pelargonium_inquinans_-L.-_L'Hér."
"438","Struthiola_dodecandra_-L.-_Druce"
"439","Meionectes_brownii_Hook.fil."
"440","Tridynamia_megalantha_-Merr.-_Staples"
"441","Aristolochia_taliscana_Hook._&_Arn."
"442","Staphylea_trifolia_L."
"443","Ancistrocladus_robertsoniorum_J.Léonard"
"444","Platanus_orientalis_L."
"445","Ilex_pubescens_Hook._&_Arn."
"446","Sympegma_regelii_Bunge"
"447","Acridocarpus_natalitius_A.Juss."
"448","Erodium_arborescens_-Desf.-_Willd."
"449","Peperomia_abyssinica_Miq."
"450","Sextonia_rubra_-Mez-_van_der_Werff"
"451","Aeonium_haworthii_Salm-Dyck_ex_Webb_&_Berthel."
"452","Tetracera_indica_-Houtt._ex_Christm._&_Panz.-_Merr."
"453","Strephonema_mannii_Hook.fil."
"454","Sinomenium_acutum_-Thunb.-_Rehder_&_E.H.Wilson"
"455","Legnephora_moorei_-F.Muell.-_Miers"
"456","Aristolochia_pothieri_Pierre_ex_Lecomte"
"457","Rinorea_horneri_-Korth.-_Kuntze"
"458","Doliocarpus_major_J.F.Gmel."
"459","Heisteria_scandens_Ducke"
"460","Eriogonum_caespitosum_Nutt."
"461","Simmondsia_chinensis_-Link-_C.K.Schneid."
"462","Hamamelis_japonica_Siebold_&_Zucc."
"463","Curatella_americana_L."
"464","Ripogonum_discolor_F.Muell."
"465","Alangium_griffithii_-C.B.Clarke-_Harms"
"466","Talinum_polygaloides_Gillies_ex_Arn."
"467","Goniothalamus_grandiflorus_-Warb.-_Boerl."
"468","Helwingia_chinensis_Batalin"
"469","Compsoneura_capitellata_-Poepp._ex_A.DC.-_Warb."
"470","Alnus_pendula_Matsum."
"471","Asimina_obovata_-Willd.-_Nash"
"472","Ribes_fasciculatum_var._chinense_Maxim."
"473","Erismadelphus_exsul_Mildbr."
"474","Allocasuarina_microstachya_-Miq.-_L.A.S.Johnson"
"475","Berberis_piperiana_-Abrams-_McMinn"
"476","Persoonia_katerae_P.H.Weston_&_L.A.S.Johnson"
"477","Cardwellia_sublimis_F.Muell."
"478","Serruria_elongata_-P.J.Bergius-_R.Br."
"479","Altingia_obovata_Merr._&_Chun"
"480","Cantua_quercifolia_Juss."
"481","Fuchsia_magellanica_Lam."
"482","Hedycarya_cupulata_Baill."
"483","Colignonia_glomerata_Griseb."
"484","Anaxagorea_brevipes_Benth."
"485","Nepenthes_tentaculata_Hook.fil."
"486","Calatola_costaricensis_Standl."
"487","Ostrya_japonica_Sarg."
"488","Frankenia_serpyllifolia_Lindl."
"489","Coscinium_fenestratum_-Gaertn.-_Colebr."
"490","Montinia_caryophyllacea_Thunb."
"491","Iryanthera_lancifolia_Ducke"
"492","Trigynaea_duckei_-R.E.Fr.-_R.E.Fr."
"493","Whipplea_modesta_Torr."
"494","Beilschmiedia_madagascariensis_-Baill.-_Kosterm."
"495","Leptaulus_daphnoides_Benth._&_Hook.f."
"496","Eucnide_rupestris_-Baill.-_H.J.Thomps._&_W.R.Ernst"
"497","Pyrenacantha_acuminata_Engl."
"498","Parrya_rydbergii_Botsch."
"499","Leptosiphon_nuttallii_-A.Gray-_J.M.Porter_&_L.A.Johnson"
"500","Saxifraga_tenella_Wulfen"
"501","Platanus_racemosa_Nutt."
"502","Rosa_davurica_Pall."
"503","Clematis_lasiandra_Maxim."
"504","Magnolia_baillonii_Pierre"
"505","Isopogon_anemonifolius_-Salisb.-_Knight"
"506","Parabaena_sagittata_Miers"
"507","Scorodocarpus_borneensis_-Baill.-_Becc."
"508","Pseudoxandra_lucida_R.E.Fr."
"509","Strombosia_scheffleri_Engl."
"510","Persea_veraguasensis_Seem."
"511","Limonium_virgatum_-Willd.-_Fourr."
"512","Triphyophyllum_peltatum_-Hutch._&_Dalziel-_Airy_Shaw"
"513","Griselinia_ruscifolia_-Clos-_Ball"
"514","Piper_hancei_Maxim."
"515","Cryptocarya_alba_-Molina-_Looser"
"516","Arctostaphylos_pungens_Kunth"
"517","Berberidopsis_corallina_Hook.fil."
"518","Strephonema_pseudocola_A.Chev."
"519","Mimetes_cucullatus_-L.-_R.Br."
"520","Ephedranthus_boliviensis_Chatrou_&_Pirie"
"521","Aristotelia_chilensis_-Molina-_Stuntz"
"522","Persoonia_media_R.Br."
"523","Petrophytum_hendersonii_-Canby-_Rydb."
"524","Piper_phytolaccifolium_Opiz"
"525","Crotalaria_laburnifolia_subsp._laburnifolia"
"526","Ranunculus_nipponicus_Nakai"
"527","Oubanguia_alata_Baker_f."
"528","Daphniphyllum_calycinum_Benth."
"529","Thottea_piperiformis_-Griff.-_Mabb."
"530","Securidaca_welwitschii_Oliv."
"531","Ventilago_leiocarpa_Benth."
"532","Aristolochia_triactina_Hook.fil."
"533","Hedyosmum_cuatrecazanum_Occhioni"
"534","Berberis_negeriana_Tischler"
"535","Rhopalocarpus_lucidus_Bojer"
"536","Horsfieldia_kingii_-Hook.fil.-_Warb."
"537","Cyphanthera_anthocercidea_-F.Muell.-_Haegi"
"538","Ercilla_volubilis_A.Juss."
"539","Myristica_sepicana_Foreman"
"540","Clematis_phlebantha_L.H.J.Williams"
"541","Collomia_rawsoniana_Greene"
"542","Itea_chinensis_Hook._&_Arn."
"543","Turnera_weddelliana_Urb._&_Rolfe"
"544","Penstemon_rupicola_-Piper-_Howell"
"545","Persoonia_falcata_R.Br."
"546","Stewartia_rostrata_Spongberg"
"547","Ilex_laurina_Kunth"
"548","Exbucklandia_populnea_-R.Br._ex_Griff.-_R.W.Br."
"549","Buchenavia_reticulata_Eichler"
"550","Ribes_spicatum_E.Robson"
"551","Diospyros_maingayi_-Hiern-_Bakh."
"552","Citronella_suaveolens_-Blume-_R.A.Howard"
"553","Parthenocissus_vitacea_-Knerr-_Hitchc."
"554","Pera_bicolor_-Klotzsch-_Müll.Arg."
"555","Machilus_japonica_Siebold_&_Zucc."
"556","Jamesia_americana_Torr._&_A.Gray"
"557","Fuchsia_paniculata_Lindl."
"558","Honckenya_peploides_-L.-_Ehrh."
"559","Piper_betle_L."
"560","Anaxagorea_acuminata_-Dunal-_A.DC."
"561","Wilkiea_macrophylla_-Tul.-_A.DC."
"562","Saponaria_sicula_Raf."
"563","Leea_setuligera_C.B.Clarke"
"564","Embelia_ribes_Burm.fil."
"565","Tetracera_scandens_-L.-_Merr."
