"","plant_name_id","ipni_id","taxon_rank","taxon_status","family","genus_hybrid","genus","species_hybrid","species","infraspecific_rank","infraspecies","parenthetical_author","primary_author","publication_author","place_of_publication","volume_and_page","first_published","nomenclatural_remarks","geographic_area","lifeform_description","climate_description","taxon_name","taxon_authors","accepted_plant_name_id","basionym_plant_name_id","homotypic_synonym","parent_plant_name_id"
"432176","43224-wcs","327580-1","Species","Accepted","Clethraceae","","Clethra","","canescens","","","","Reinw. ex Blume","","Bijdr. Fl. Ned. Ind.",": 863","(1826)","","Malesia to New Guinea","Phanerophyte","Wet Tropical","Clethra canescens","Reinw. ex Blume","43224-wcs","",NA,"43184-wcs"
"432318","43357-wcs","169495-1","Species","Accepted","Clethraceae","","Clethra","","peruviana","","","","Szyszyl.","","Diagn. Pl. Nov.",": 13","(1894)","","Ecuador to Peru","Nanophanerophyte","Wet Tropical","Clethra peruviana","Szyszyl.","43357-wcs","",NA,"43184-wcs"
"432412","514125-wcs","315965-1","Species","Accepted","Clethraceae","","Purdiaea","","nutans","","","","Planch.","","London J. Bot.","5: 251","(1846)","","Venezuela to Peru","Nanophanerophyte or phanerophyte","Wet Tropical","Purdiaea nutans","Planch.","514125-wcs","",NA,"514111-wcs"
"433061","816668-az","427797-1","Species","Accepted","Clusiaceae","","Garcinia","","amplexicaulis","","","","Vieill. ex Pierre","","Fl. Forest. Cochinch.","5: 20","(1883)","","New Caledonia","Phanerophyte","Wet Tropical","Garcinia amplexicaulis","Vieill. ex Pierre","816668-az","",NA,"816651-az"
"433283","816877-az","427980-1","Species","Accepted","Clusiaceae","","Garcinia","","griffithii","","","","T.Anderson","J.D.Hooker","Fl. Brit. India","1: 266","(1874)","","Pen. Malaysia","Phanerophyte","Wet Tropical","Garcinia griffithii","T.Anderson","816877-az","",NA,"816651-az"
"435565","514148-wcs","546059-1","Species","Accepted","Columelliaceae","","Desfontainia","","spinosa","","","","Ruiz & Pav.","","Fl. Peruv.","2: 47","(1799)","","Peru (E. Andes)","Nanophanerophyte or phanerophyte","Subtropical","Desfontainia spinosa","Ruiz & Pav.","514148-wcs","",NA,"514136-wcs"
"435915","732498-az","63782-2","Species","Illegitimate","Combretaceae","","Combretum","","coccineum","","","Aubl.","Engl. & Diels","H.G.A.Engler","Monogr. Afrik. Pflanzen-Fam.","3: 110","(1899)",", nom. illeg.","","","","Combretum coccineum","(Aubl.) Engl. & Diels","732469-az","688969-az",TRUE,""
"435916","732497-az","170002-1","Species","Accepted","Combretaceae","","Combretum","","coccineum","","","Sonn.","Lam.","","Encycl.","1: 734","(1785)","","Madagascar","Liana","Seasonally Dry Tropical","Combretum coccineum","(Sonn.) Lam.","732497-az","742790-az",NA,"732359-az"
"435918","732500-az","170004-1","Species","Accepted","Combretaceae","","Combretum","","collinum","","","","Fresen.","","Mus. Senckenberg.","2: 153","(1837)","","NE. Trop. Africa","Nanophanerophyte or phanerophyte","Desert and Dry Shrubland","Combretum collinum","Fresen.","732500-az","",NA,"732359-az"
"435985","732559-az","170052-1","Species","Accepted","Combretaceae","","Combretum","","elaeagnoides","","","","Klotzsch","W.C.H.Peters","Naturw. Reise Mossambique","6(1): 73","(1861)","","S. Trop. Africa to Botswana","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Combretum elaeagnoides","Klotzsch","732559-az","",NA,"732359-az"
"436033","732604-az","63788-2","Species","Accepted","Combretaceae","","Combretum","","fruticosum","","","Loefl.","Stuntz","","U.S.D.A. Bur. Pl. Industr. Invent. Seeds","31: 86","(1914)","","Mexico to Trop. America","Scrambling nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Combretum fruticosum","(Loefl.) Stuntz","732604-az","818158-az",NA,"732359-az"
"436186","732729-az","170207-1","Species","Unplaced","Combretaceae","","Combretum","","latifolium","","","","G.Don","","Trans. Linn. Soc. London","15: 432","(1827)",", nom. illeg.","","","","Combretum latifolium","G.Don","","",NA,""
"436187","732728-az","170206-1","Species","Accepted","Combretaceae","","Combretum","","latifolium","","","","Blume","","Bijdr. Fl. Ned. Ind.",": 641","(1826)","","China (S. Yunnan) to Trop. Asia","Liana","Wet Tropical","Combretum latifolium","Blume","732728-az","",NA,"732359-az"
"436298","732833-az","170296-1","Species","Accepted","Combretaceae","","Combretum","","mossambicense","","","Klotzsch","Engl.","","Pflanzenw. Ost-Afrikas",", C: 292","(1895)","","Kenya to N. Namibia","Scrambling nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Combretum mossambicense","(Klotzsch) Engl.","732833-az","408951-az",NA,"732359-az"
"436331","732862-az","170322-1","Species","Accepted","Combretaceae","","Combretum","","obovatum","","","","F.Hoffm.","","Beitr. Fl. Centr.-Ost-Afr.",": 28","(1889)","","Tanzania to S. Trop. Africa","Scrambling nanophanerophyte","Seasonally Dry Tropical","Combretum obovatum","F.Hoffm.","732862-az","",NA,"732359-az"
"436498","733015-az","170455-1","Species","Accepted","Combretaceae","","Combretum","","schumannii","","","","Engl.","","Abh. Königl. Akad. Wiss. Berlin","1894: 34","(1894)","","S. Somalia to N. Mozambique","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Combretum schumannii","Engl.","733015-az","",NA,"732359-az"
"436612","733110-az","170549-1","Species","Accepted","Combretaceae","","Combretum","","umbricola","","","","Engl.","","Pflanzenw. Ost-Afrikas",", C: 288","(1895)","","South Sudan to Mozambique","Scrambling nanophanerophyte","Seasonally Dry Tropical","Combretum umbricola","Engl.","733110-az","",NA,"732359-az"
"436739","834880-az","20011770-1","Species","Accepted","Combretaceae","","Guiera","","senegalensis","","","","J.F.Gmel.","","Syst. Nat. ed. 13[bis]",": 675","(1791)","","W. Trop. Africa to Sudan","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Guiera senegalensis","J.F.Gmel.","834880-az","",NA,"834877-az"
"436766","338856-az","170675-1","Species","Accepted","Combretaceae","","Lumnitzera","","littorea","","","Jack","Voigt","","Hort. Suburb. Calcutt.",": 39","(1845)","","S. Hainan to Trop. Asia and W. Pacific, N. Australia to NE. Queensland","Phanerophyte","Wet Tropical","Lumnitzera littorea","(Jack) Voigt","338856-az","411150-az",NA,"338854-az"
"436772","338861-az","170681-1","Species","Accepted","Combretaceae","","Lumnitzera","","racemosa","","","","Willd.","","Neue Schriften Ges. Naturf. Freunde Berlin","4: 187","(1803)","","SE. Kenya to KwaZulu-Natal, W. Indian Ocean, Trop. & Subtrop. Asia to SW. Pacific, Australia","Nanophanerophyte or phanerophyte","Wet Tropical","Lumnitzera racemosa","Willd.","338861-az","",NA,"338854-az"
"437069","587772-az","554277-1","Species","Accepted","Combretaceae","","Strephonema","","mannii","","","","Benth. & Hook.f.","","Gen. Pl.","1: 782","(1867)","","S. Nigeria to WC. Trop. Africa","Nanophanerophyte or phanerophyte","Wet Tropical","Strephonema mannii","Benth. & Hook.f.","587772-az","",NA,"587771-az"
"437071","484474-az","170928-1","Species","Accepted","Combretaceae","","Strephonema","","pseudocola","","","","A.Chev.","","Mém. Soc. Bot. France","8: 172","(1912)","","W. Trop. Africa to Cameroon","Phanerophyte","Wet Tropical","Strephonema pseudocola","A.Chev.","484474-az","",NA,"587771-az"
"437134","431540-az","170982-1","Species","Accepted","Combretaceae","","Terminalia","","bellirica","","","Gaertn.","Roxb.","","Pl. Coromandel","2: t. 198","(1805)","","Indian Subcontinent to China (S. Yunnan) and Malesia","Phanerophyte","Wet Tropical","Terminalia bellirica","(Gaertn.) Roxb.","431540-az","372533-az",NA,"431359-az"
"437176","431434-az","250543-2","Species","Accepted","Combretaceae","","Terminalia","","bucidoides","","","","Standl. & L.O.Williams","","Ceiba","3: 214","(1953)","","C. America","Phanerophyte","Wet Tropical","Terminalia bucidoides","Standl. & L.O.Williams","431434-az","",NA,"431359-az"
"437419","434434-az","171203-1","Species","Accepted","Combretaceae","","Terminalia","","litoralis","","","","Seem.","","Fl. Vit.",": 94","(1866)","","S. Pacific","Phanerophyte","Wet Tropical","Terminalia litoralis","Seem.","434434-az","",NA,"431359-az"
"437485","434368-az","171264-1","Species","Accepted","Combretaceae","","Terminalia","","myriocarpa","","","","Van Heurck & Müll.Arg.","","Observ. Bot. Descript. Pl. Nov. Herb. Van Heurckiani","2: 215","(1871)","","E. Himalaya to China (Yunnan, SW. Guangxi) and N. Sumatera","Phanerophyte","Wet Tropical","Terminalia myriocarpa","Van Heurck & Müll.Arg.","434368-az","",NA,"431359-az"
"437489","1016440-az","77164573-1","Species","Accepted","Combretaceae","","Terminalia","","myrtifolia","","","M.A.Lawson","Gere & Boatwr.","","Bot. J. Linn. Soc.","184: 320","(2017)","","SE. Kenya to KwaZulu-Natal","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Terminalia myrtifolia","(M.A.Lawson) Gere & Boatwr.","1016440-az","732842-az",NA,"431359-az"
"437581","1016506-az","77164580-1","Species","Accepted","Combretaceae","","Terminalia","","pulcherrima","","","Exell & Stace","Gere & Boatwr.","","Bot. J. Linn. Soc.","184: 321","(2017)","","N. South America to N. Peru","Phanerophyte","Wet Tropical","Terminalia pulcherrima","(Exell & Stace) Gere & Boatwr.","1016506-az","684875-az",NA,"431359-az"
"437706","434180-az","171449-1","Species","Accepted","Combretaceae","","Terminalia","","ulexoides","","","","H.Perrier","","Ann. Mus. Colon. Marseille",", sér. 7, 1(1): 29","(1953)","","Madagascar","Phanerophyte","Wet Tropical","Terminalia ulexoides","H.Perrier","434180-az","",NA,"431359-az"
"440797","728834-az","264202-1","Species","Accepted","Connaraceae","","Cnestidium","","rufescens","","","","Planch.","","Linnaea","23: 440","(1850)","","C. Mexico to Venezuela and NE. Ecuador, Caribbean","Liana","Wet Tropical","Cnestidium rufescens","Planch.","728834-az","",NA,"728829-az"
"441167","734469-az","64219-2","Species","Accepted","Connaraceae","","Connarus","","turczaninowii","","","","Triana & Planch.","","Ann. Sci. Nat., Bot.",", sér. 5, 16: 364","(1872)","","Panama to NW. Colombia","Climbing nanophanerophyte","Wet Tropical","Connarus turczaninowii","Triana & Planch.","734469-az","734381-az",NA,"734206-az"
"441449","416176-az","264767-1","Species","Accepted","Connaraceae","","Rourea","","glabra","","","","Kunth","F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth","Nov. Gen. Sp.","7: 41","(1824)","","Mexico to Trop. America","Liana","Wet Tropical","Rourea glabra","Kunth","416176-az","",NA,"415832-az"
"441524","423802-az","264826-1","Species","Accepted","Connaraceae","","Rourea","","orientalis","","","","Baill.","","Adansonia","7: 230","(1867)","","SE. Kenya to N. Botswana, Madagascar","Scrambling nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Rourea orientalis","Baill.","423802-az","",NA,"415832-az"
"445638","485376-wcs","267793-1","Species","Accepted","Convolvulaceae","","Dipteropeltis","","poranoides","","","","Hallier f.","","Jahrb. Hamburg. Wiss. Anst.","16(Beih. 3): 5","(1898 publ. 1899)","","WC. Trop. Africa","Liana","Wet Tropical","Dipteropeltis poranoides","Hallier f.","485376-wcs","",NA,"485373-wcs"
"446408","480420-wcs","268327-1","Species","Accepted","Convolvulaceae","","Humbertia","","madagascariensis","","","","Lam.","","Encycl.","2: 356","(1786)","","Madagascar","Phanerophyte","Seasonally Dry Tropical","Humbertia madagascariensis","Lam.","480420-wcs","",NA,"480418-wcs"
"450696","479995-wcs","972392-1","Species","Accepted","Convolvulaceae","","Tridynamia","","megalantha","","","Merr.","Staples","","Novon","3: 201","(1993)","","Assam to S. China and Pen. Malaysia","Liana","Wet Tropical","Tridynamia megalantha","(Merr.) Staples","479995-wcs","479385-wcs",NA,"480034-wcs"
"450789","47203-wcs","271351-1","Species","Accepted","Coriariaceae","","Coriaria","","arborea","","","","Linds.","","Contr. New Zealand Bot.",": 84","(1868)","","New Zealand, Chatham Is., Kermadec Is.","Nanophanerophyte or phanerophyte","Subtropical","Coriaria arborea","Linds.","47203-wcs","",NA,"47201-wcs"
"450797","47210-wcs","271356-1","Species","Accepted","Coriariaceae","","Coriaria","","japonica","","","","A.Gray","","Mem. Amer. Acad. Arts",", n.s., 6: 383","(1859)","","N. & C. Japan","Nanophanerophyte","Temperate","Coriaria japonica","A.Gray","47210-wcs","",NA,"47201-wcs"
"450807","47220-wcs","271361-1","Species","Accepted","Coriariaceae","","Coriaria","","myrtifolia","","","","L.","","Sp. Pl.",": 1037","(1753)","","W. Medit. to W. Greece","Nanophanerophyte","Subtropical","Coriaria myrtifolia","L.","47220-wcs","",NA,"47201-wcs"
"450814","47227-wcs","271369-1","Species","Accepted","Coriariaceae","","Coriaria","","ruscifolia","","","","L.","","Sp. Pl.",": 1037","(1753)","","New Guinea to S. Pacific, Mexico to SW. Argentina","Nanophanerophyte","Temperate","Coriaria ruscifolia","L.","47227-wcs","",NA,"47201-wcs"
"450858","5545-wcs","58133-1","Species","Accepted","Cornaceae","","Alangium","","chinense","","","Lour.","Harms","","Ber. Deutsch. Bot. Ges.","15: 24","(1897)","","Cameroon to SE. Ethiopia and S. Trop. Africa, Trop. & Subtrop. Asia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Alangium chinense","(Lour.) Harms","5545-wcs","198342-wcs",NA,"5524-wcs"
"450912","5589-wcs","271414-1","Species","Accepted","Cornaceae","","Alangium","","kurzii","","","","Craib","","Bull. Misc. Inform. Kew","1911: 60","(1911)","","C. & S. China to W. Malesia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Alangium kurzii","Craib","5589-wcs","60520-wcs",NA,"5524-wcs"
"450938","5606-wcs","271423-1","Species","Accepted","Cornaceae","","Alangium","","nobile","","","C.B.Clarke","Harms","H.G.A.Engler & K.A.E.Prantl","Nat. Pflanzenfam.","3(8): 262","(1898)","","W. Malesia","Phanerophyte","Wet Tropical","Alangium nobile","(C.B.Clarke) Harms","5606-wcs","120626-wcs",NA,"5524-wcs"
"450957","524619-wcs","77173742-1","Species","Accepted","Cornaceae","","Alangium","","polyosmoides","","","F.Muell.","W.J.de Wilde & Duyfjes","","Blumea","62: 79","(2017)","","E. Australia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Alangium polyosmoides","(F.Muell.) W.J.de Wilde & Duyfjes","524619-wcs","166090-wcs",NA,"5524-wcs"
"450990","5646-wcs","271437-1","Species","Accepted","Cornaceae","","Alangium","","uniloculare","","","Griff.","King","","J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","71: 77","(1902)","","Pen. Thailand to W. & C. Malesia","Phanerophyte","Wet Tropical","Alangium uniloculare","(Griff.) King","5646-wcs","120635-wcs",NA,"5524-wcs"
"451108","47279-wcs","271502-1","Species","Accepted","Cornaceae","","Cornus","","alternifolia","","","","L.f.","","Suppl. Pl.",": 125","(1782)","","C. & E. Canada to NC. & E. U.S.A.","Nanophanerophyte or phanerophyte","Temperate","Cornus alternifolia","L.f.","47279-wcs","",NA,"47266-wcs"
"451196","47330-wcs","271543-1","Species","Accepted","Cornaceae","","Cornus","","controversa","","","","Hemsl.","","Bot. Mag.","135: t. 8261","(1909)","","C. Himalaya to S. Kuril Is. and N. Indo-China","Phanerophyte","Temperate","Cornus controversa","Hemsl.","47330-wcs","",NA,"47266-wcs"
"451216","47345-wcs","271555-1","Species","Accepted","Cornaceae","","Cornus","","disciflora","","","","Moc. & Sessé ex DC.","","Prodr.","4: 273","(1830)","","Mexico to C. America","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Cornus disciflora","Moc. & Sessé ex DC.","47345-wcs","",NA,"47266-wcs"
"451238","47363-wcs","271574-1","Species","Accepted","Cornaceae","","Cornus","","florida","","","","L.","","Sp. Pl.",": 117","(1753)","","SE. Canada to E. Mexico","Nanophanerophyte or phanerophyte","Temperate","Cornus florida","L.","47363-wcs","",NA,"47266-wcs"
"451257","47381-wcs","271579-1","Species","Accepted","Cornaceae","","Cornus","","glabrata","","","","Benth.","","Bot. Voy. Sulphur",": 18","(1844)","","S. Oregon to California","Nanophanerophyte","Temperate","Cornus glabrata","Benth.","47381-wcs","",NA,"47266-wcs"
"451313","47432-wcs","271612-1","Species","Accepted","Cornaceae","","Cornus","","mas","","","","L.","","Sp. Pl.",": 117","(1753)","","Europe to Caucasus","Phanerophyte","Temperate","Cornus mas","L.","47432-wcs","",NA,"47266-wcs"
"451353","47452-wcs","271624-1","Species","Accepted","Cornaceae","","Cornus","","obliqua","","","","Raf.","","W. Rev. & Misc. Mag.","1: 229","(1819)","","SE. Canada to NC. & E. U.S.A.","Nanophanerophyte or phanerophyte","Temperate","Cornus obliqua","Raf.","47452-wcs","",NA,"47266-wcs"
"451354","47453-wcs","330225-2","Species","Accepted","Cornaceae","","Cornus","","oblonga","","","","Wall.","W.Roxburgh","Fl. Ind.","1: 432","(1820)","","Pakistan to SC. China and N. Indo-China","Nanophanerophyte or phanerophyte","Temperate","Cornus oblonga","Wall.","47453-wcs","",NA,"47266-wcs"
"451362","47459-wcs","271629-1","Species","Accepted","Cornaceae","","Cornus","","officinalis","","","","Siebold & Zucc.","","Fl. Jap.","1: 100","(1839)","","NC. & SE. China","Nanophanerophyte or phanerophyte","Temperate","Cornus officinalis","Siebold & Zucc.","47459-wcs","",NA,"47266-wcs"
"451374","47469-wcs","66159-2","Species","Accepted","Cornaceae","","Cornus","","peruviana","","","","J.F.Macbr.","","Trop. Woods","19: 5","(1929)","","Costa Rica to NW. Venezuela and Bolivia","Phanerophyte","Subtropical","Cornus peruviana","J.F.Macbr.","47469-wcs","",NA,"47266-wcs"
"451833","48198-wcs","69492-1","Species","Accepted","Corynocarpaceae","","Corynocarpus","","dissimilis","","","","Hemsl.","","Ann. Bot. (Oxford)","17: 754","(1903)","","New Caledonia","Nanophanerophyte or phanerophyte","Wet Tropical","Corynocarpus dissimilis","Hemsl.","48198-wcs","",NA,"48195-wcs"
"453941","741916-az","273315-1","Species","Accepted","Crassulaceae","","Crassula","","multicava","","","","Lem.","","Ill. Hort.","9(Misc.): 40","(1861)","","S. Cape Prov. to S. KwaZulu-Natal","Succulent chamaephyte","Subtropical","Crassula multicava","Lem.","741916-az","",NA,"741460-az"
"455457","333904-az","274270-1","Species","Accepted","Crassulaceae","","Kalanchoe","","beharensis","","","","Drake","","Bull. Mus. Hist. Nat. (Paris)","9: 41","(1903)","","S. Madagascar","Succulent nanophanerophyte","Desert and Dry Shrubland","Kalanchoe beharensis","Drake","333904-az","",NA,"333872-az"
"455769","336016-az","274449-1","Species","Accepted","Crassulaceae","","Kalanchoe","","pubescens","","","","Baker","","J. Linn. Soc., Bot.","22: 470","(1887)","","Madagascar","Succulent chamaephyte","Desert and Dry Shrubland","Kalanchoe pubescens","Baker","336016-az","",NA,"333872-az"
"455770","336015-az","","Species","Invalid","Crassulaceae","","Kalanchoe","","pubescens","","","","R.Br. ex Britten","D.Oliver & auct. suc. (eds.)","Fl. Trop. Afr.","2: 396","(1871)",", pro syn.","","","","Kalanchoe pubescens","R.Br. ex Britten","335842-az","",NA,""
"456316","411228-az","986638-1","Species","Accepted","Crassulaceae","","Phedimus","","stolonifer","","","S.G.Gmel.","'t Hart","H.'t Hart & U.Eggli (eds.)","Evol. & Syst. Crassulac.",": 168","(1995)","","Turkey to N. Iran","Succulent chamaephyte","Temperate","Phedimus stolonifer","(S.G.Gmel.) 't Hart","411228-az","489101-az",NA,"411236-az"
"460069","743157-az","277101-1","Species","Accepted","Crossosomataceae","","Crossosoma","","californicum","","","","Nutt.","","Proc. Acad. Nat. Sci. Philadelphia","4(Mar.-Apr.): 7","(1848)","","S. California (incl. Channel Is.), Guadalupe, Mexico (Baja California Norte)","Nanophanerophyte or phanerophyte","Desert and Dry Shrubland","Crossosoma californicum","Nutt.","743157-az","",NA,"743153-az"
"460121","51893-wcs","552854-1","Species","Accepted","Crypteroniaceae","","Crypteronia","","griffithii","","","","C.B.Clarke","J.D.Hooker","Fl. Brit. India","2: 574","(1869)","","Indo-China to W. Malesia","Phanerophyte","Wet Tropical","Crypteronia griffithii","C.B.Clarke","51893-wcs","",NA,"51886-wcs"
"460139","55031-wcs","568142-1","Species","Accepted","Crypteroniaceae","","Dactylocladus","","stenostachys","","","","Oliv.","","Hooker's Icon. Pl.","24: t. 2341","(1895)","","Borneo","Phanerophyte","Wet Tropical","Dactylocladus stenostachys","Oliv.","55031-wcs","",NA,"55030-wcs"
"460152","52195-wcs","543965-1","Species","Accepted","Ctenolophonaceae","","Ctenolophon","","englerianus","","","","Mildbr.","","Notizbl. Bot. Gart. Berlin-Dahlem","8: 706","(1924)","","S. Nigeria to N. Angola","Phanerophyte","Seasonally Dry Tropical","Ctenolophon englerianus","Mildbr.","52195-wcs","",NA,"52194-wcs"
"460235","630967-az","291224-1","Species","Accepted","Cucurbitaceae","","Alsomitra","","macrocarpa","","","Blume","M.Roem.","","Fam. Nat. Syn. Monogr.","2: 117","(1846)","","S. Thailand to Bismarck Arch.","Climbing chamaephyte","Wet Tropical","Alsomitra macrocarpa","(Blume) M.Roem.","630967-az","470367-az",NA,"630949-az"
"460870","706365-az","291767-1","Species","Accepted","Cucurbitaceae","","Cayaponia","","amazonica","","","Poepp. & Endl.","Cogn.","A.L.P.P.de Candolle & A.C.P.de Candolle","Monogr. Phan.","3: 797","(1881)","","Peru, E. Bolivia","Climber","Wet Tropical","Cayaponia amazonica","(Poepp. & Endl.) Cogn.","706365-az","490166-az",NA,"706359-az"
"462673","809250-az","104422-2","Species","Accepted","Cucurbitaceae","","Fevillea","","cordifolia","","","","L.","","Sp. Pl.",": 1013","(1753)","","SW. Mexico to Trop. America","Climber","Wet Tropical","Fevillea cordifolia","L.","809250-az","",NA,"809245-az"
"462674","809251-az","292707-1","Species","Illegitimate","Cucurbitaceae","","Fevillea","","cordifolia","","","","Vell.","","Fl. Flumin.","10: t. 102","(1831)",", nom. illeg.","","","","Fevillea cordifolia","Vell.","809274-az","",NA,""
"462935","836473-az","292905-1","Species","Accepted","Cucurbitaceae","","Gynostemma","","pentaphyllum","","","Thunb.","Makino","","Bot. Mag. (Tokyo)","16: 179","(1902)","","Himalaya to Japan and New Guinea","Climber","Subtropical","Gynostemma pentaphyllum","(Thunb.) Makino","836473-az","460696-az",NA,"836451-az"
"463726","373009-az","293451-1","Species","Accepted","Cucurbitaceae","","Momordica","","foetida","","","","Schumach.","C.F.Schumacher","Beskr. Guin. Pl.",": 426","(1827)","","Trop. & S. Africa","Liana","Seasonally Dry Tropical","Momordica foetida","Schumach.","373009-az","",NA,"372810-az"
"463912","377899-az","1112092-2","Species","Accepted","Cucurbitaceae","","Neoalsomitra","","clavigera","","","Wall.","Hutch.","","Ann. Bot. (Oxford)",", n.s., 6: 101","(1942)","","Trop. & Subtrop. Asia to SW. Pacific","Liana","Wet Tropical","Neoalsomitra clavigera","(Wall.) Hutch.","377899-az","470371-az",NA,"377904-az"
"464517","489696-az","293981-1","Species","Accepted","Cucurbitaceae","","Sicyos","","macrocarpus","","","","Cogn.","A.L.P.P.de Candolle & A.C.P.de Candolle","Monogr. Phan.","3: 893","(1881)","","Colombia to Venezuela and Peru","Climber","Wet Tropical","Sicyos macrocarpus","Cogn.","489696-az","",NA,"489750-az"
"464631","489918-az","294042-1","Species","Accepted","Cucurbitaceae","","Solena","","amplexicaulis","","","Lam.","Gandhi","C.J.Saldanha & D.H.Nicolson","Fl. Hassan Distr.",": 179","(1976)","","Indian Subcontinent to Myanmar","Climber","Wet Tropical","Solena amplexicaulis","(Lam.) Gandhi","489918-az","684341-az",NA,"489929-az"
"464684","434709-az","294080-1","Species","Accepted","Cucurbitaceae","","Thladiantha","","hookeri","","","","C.B.Clarke","J.D.Hooker","Fl. Brit. India","2: 631","(1879)","","Bhutan to China (Yunnan) and Indo-China","Climber","Subtropical","Thladiantha hookeri","C.B.Clarke","434709-az","",NA,"434679-az"
"465476","711140-az","790477-1","Species","Accepted","Cunoniaceae","","Ceratopetalum","","apetalum","","","","D.Don","","Edinburgh New Philos. J.","9: 94","(1830)","","SE. Queensland to New South Wales","Phanerophyte","Subtropical","Ceratopetalum apetalum","D.Don","711140-az","",NA,"711139-az"
"465499","730074-az","294553-1","Species","Accepted","Cunoniaceae","","Codia","","discolor","","","Brongn. & Gris","Guillaumin","","Bull. Soc. Bot. France","87: 255","(1941)","","C. & SE. New Caledonia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Codia discolor","(Brongn. & Gris) Guillaumin","730074-az","730089-az",NA,"730068-az"
"465577","802761-az","724849-1","Species","Accepted","Cunoniaceae","","Eucryphia","","cordifolia","","","","Cav.","","Icon.","4: 49","(1798)","","SC. & S. Chile to SW. Argentina","Phanerophyte","Temperate","Eucryphia cordifolia","Cav.","802761-az","",NA,"802758-az"
"465582","802766-az","994168-1","Species","Accepted","Cunoniaceae","","Eucryphia","","jinksii","","","","P.I.Forst.","","Austrobaileya","4: 592","(1997)","","SE. Queensland","Phanerophyte","Subtropical","Eucryphia jinksii","P.I.Forst.","802766-az","",NA,"802758-az"
"465588","802771-az","724852-1","Species","Accepted","Cunoniaceae","","Eucryphia","","moorei","","","","F.Muell.","","Fragm.","4: 2","(1863)","","SE. New South Wales to Victoria","Nanophanerophyte or phanerophyte","Temperate","Eucryphia moorei","F.Muell.","802771-az","",NA,"802758-az"
"465630","825998-az","791202-1","Species","Accepted","Cunoniaceae","","Gillbeea","","adenopetala","","","","F.Muell.","","Fragm.","5: 17","(1865)","","NE. Queensland","Phanerophyte","Wet Tropical","Gillbeea adenopetala","F.Muell.","825998-az","",NA,"825997-az"
"465638","996412-az","77133330-1","Species","Accepted","Cunoniaceae","","Karrabina","","biagiana","","","F.Muell.","Rozefelds & H.C.Hopkins","","Austral. Syst. Bot.","26: 181","(2013)","","NE. Queensland","Phanerophyte","Wet Tropical","Karrabina biagiana","(F.Muell.) Rozefelds & H.C.Hopkins","996412-az","464988-az",NA,"996402-az"
"465754","492004-az","794772-1","Species","Accepted","Cunoniaceae","","Schizomeria","","ovata","","","","D.Don","","Edinburgh New Philos. J.","9: 95","(1830)","","E. Australia","Phanerophyte","Subtropical and Tropical","Schizomeria ovata","D.Don","492004-az","",NA,"492002-az"
"465760","489830-az","294653-1","Species","Accepted","Cunoniaceae","","Schizomeria","","whitei","","","","Mattf.","","J. Arnold Arbor.","20: 435","(1939)","","NE. Queensland","Phanerophyte","Wet Tropical","Schizomeria whitei","Mattf.","489830-az","",NA,"492002-az"
"465769","478168-az","794809-1","Species","Accepted","Cunoniaceae","","Spiraeanthemum","","davidsonii","","","","F.Muell.","","Australas. J. Pharm.","2: 85","(1887)","","NE. Queensland","Phanerophyte","Wet Tropical","Spiraeanthemum davidsonii","F.Muell.","478168-az","",NA,"478169-az"
"465770","583632-az","794810-1","Species","Accepted","Cunoniaceae","","Spiraeanthemum","","densiflorum","","","","Brongn. & Gris","","Bull. Soc. Bot. France","9: 74","(1862)","","N. & C. New Caledonia","Phanerophyte","Wet Tropical","Spiraeanthemum densiflorum","Brongn. & Gris","583632-az","",NA,"478169-az"
"465771","583717-az","794811-1","Species","Accepted","Cunoniaceae","","Spiraeanthemum","","ellipticum","","","","Vieill. ex Pamp.","","Ann. Bot. (Rome)","2: 50","(1905)","","NE. & S. New Caledonia","Nanophanerophyte or phanerophyte","Wet Tropical","Spiraeanthemum ellipticum","Vieill. ex Pamp.","583717-az","",NA,"478169-az"
"465781","897504-az","77100289-1","Species","Accepted","Cunoniaceae","","Spiraeanthemum","","meridionale","","","Hoogland","Pillon","","Syst. Bot.","34: 147","(2009)","","SE. New Caledonia","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Spiraeanthemum meridionale","(Hoogland) Pillon","897504-az","620487-az",NA,"478169-az"
