"x"
"Calantica sphaerocephala Appleq., Phillipson & G.E.Schatz"
"Corynostylis volubilis L.B.Sm. & A.Fernández"
"Calyptrion pubescens (S.Moore) Paula-Souza"
"Cylindropuntia waltoniorum Rebman"
"Dombeya ratovosonii Appleq. & Bosser"
"Dianthus borbonicus Brullo, C.Brullo, Colombo, Giusso, Ilardi & Perrone"
"Deprea sachapapa (Hunz.) S.Leiva & Deanna"
"Gilbertiodendron quinquejugum Burgt"
"Gilbertiodendron ecoukense (Pellegr.) Burgt"
"Gilbertiodendron maximum Burgt & Wieringa"
"Gilbertiodendron ebo Burgt & Mackinder"
"Gilbertiodendron sulfureum Burgt"
"Gilbertiodendron breteleri Burgt"
"Gilbertiodendron bambolense Burgt"
"Haymondia wallichii (DC.) A.N.Egan & B.Pan"
"Polygala caracasana Kunth"
"Haydenoxylon urbanianum (Loes.) M.P.Simmons"
"Huberantha keraudreniae (Le Thomas & G.E.Schatz) Chaowasku"
"Hosea lobbii (C.B.Clarke) Ridl."
"Huberantha perrieri (Cavaco & Keraudren) Chaowasku"
"Huberantha nitidissima (Dunal) Chaowasku"
"Ivodea delphinensis Rabarim., Rakoton., Phillipson & Lowry"
"Hoslundia opposita Vahl"
"Ivodea analalavensis Rabarim., Rakoton., Phillipson & Lowry"
"Jaffrea xerocarpa (Baill.) H.C.Hopkins & Pillon"
"Jaffrea erubescens (Baill.) H.C.Hopkins & Pillon"
"Ormocarpopsis nitida (Du Puy & Labat) Thulin & Lavin"
"Mangifera dongnaiensis Pierre"
"Marcus-Kochia littorea (L.) Al-Shehbaz"
"Maytenus chapadensis Carv.-Okano ex Biral & Groppo"
"Mendoncia delphina E.Magnaghi"
"Mendoncia kely E.Magnaghi"
"Mendoncia decaryi (Benoist) E.Magnaghi"
"Neea alumnorum M.Pignal, Soares Filho & Romaniuc"
"Ocotea pedanomischa van der Werff"
"Ocotea ivohibensis van der Werff"
"Ocotea spanantha van der Werff"
"Ormosia lewisii D.B.O.S.Cardoso, C.H.Stirt. & Torke"
"Ocotea porphyria (Griseb.) van der Werff"
"Protium rhynchophyllum (Rusby) Daly"
"Acacia fleckii Schinz"
"Bauhinia harmsiana var. harmsiana"
"Phanera curtisii (Prain) Bandyop. & Ghoshal"
"Houstonia acerosa (A.Gray) Benth. & Hook.f."
"Acacia pervillei Benth."
"Acacia hildebrandtii (Vatke) Drake"
"Senegalia polhillii (Villiers & Du Puy) Boatwr."
"Senegalia sakalava (Drake) Boatwr."
"Spondias admirabilis J.D.Mitch. & Daly"
"Spondias globosa J.D.Mitch. & Daly"
"Senegalia harleyi Seigler, Ebinger & P.G.Ribeiro"
"Houstonia caerulea L."
"Houstonia canadensis Willd."
"Sirdavidia solannona Couvreur & Sauquet"
"Stenosiphonium russelianum Wight"
"Hemigraphis alternata (Burm.fil.) T.Anderson"
"Staurogyne guianensis (Bremek.) T.F.Daniel & Mc Dade"
"Pueraria peduncularis (Benth.) Graham ex Benth."
"Teyleria stricta (Kurz) A.N.Egan & B.Pan"
"Acacia bellula Drake"
"Acacia myrmecophila R.Vig."
"Schizophragma integrifolium Oliv."
"Hydrangea barbara (L.) Bernd Schulz"
"Caiophora lateritia (Hook.) Benth."
"Houstonia longifolia Gaertn."
"Giliastrum stewartii (I.M.Johnst.) J.M.Porter"
"Houstonia micrantha (Shinners) Terrell"
"Houstonia ouachitana (E.B.Sm.) Terrell"
"Hedyotis palmeri (A.Gray) W.H.Lewis"
"Houstonia purpurea L."
"Houstonia pusilla Schoepf"
"Houstonia rosea (Raf.) Terrell"
"Houstonia rubra Cav."
"Houstonia serpyllifolia Michx."
"Hedyotis teretifolia (Terrell) G.L.Nesom"
"Strasburgeria robusta (Vieill. ex Pancher & Sebert) Guillaumin"
"Stachyurus praecox Siebold & Zucc."
"Tetracera macrophylla Wall. ex Hook.fil. & Thomson"
"Uebelinia abyssinica Hochst."
"Hunteria ballayi Hua"
"Nepenthes sumatrana (Miq.) Beck"
"Hunteria camerunensis K.Schum. ex Hallier fil."
"Hunteria congolana Pichon"
"Hunteria ghanensis J.B.Hall & Leeuwenb."
"Schaueria calytricha (Hook.) A.L.A.Côrtes"
"Hunteria macrosiphon Omino"
"Hunteria oxyantha Omino"
"Hunteria simii (Stapf) H.Huber"
"Hunteria umbellata (K.Schum.) Hallier fil."
"Hunteria zeylanica (Retz.) Gardner ex Thwaites"
"Hura crepitans L."
"Leucopogon melaleucoides A.Cunn. ex DC."
"Hura polyandra Baill."
"Amorimia coriacea (Griseb.) R.F.Almeida"
"Amorimia pellegrinii R.F.Almeida"
"Acanthocladus dichromus (Steud.) J.F.B.Pastore"
"Aria rupicola (Syme) Mezhenskyj"
"Hutchinsonia barbata Robyns"
"Cenostigma microphyllum (Mart. ex G.Don) Gagnon & G.P.Lewis"
"Cenostigma marginatum (Tul.) Gagnon & G.P.Lewis"
"Cenostigma laxiflorum (Tul.) Gagnon & G.P.Lewis"
"Cenostigma pluviosum (DC.) Gagnon & G.P.Lewis"
"Poincianella eriostachys (Benth.) Britton & Rose"
"Cenostigma bracteosum (Tul.) Gagnon & G.P.Lewis"
"Canarium betamponae Daly, Raharim. & Federman"
"Caesalpinia gaumeri Greenm."
"Poincianella gardneriana (Benth.) L.P.Queiroz"
"Cenostigma pyramidale (Tul.) Gagnon & G.P.Lewis"
"Canarium pilicarpum Daly, Raharim. & Federman"
"Canarium planifolium Daly, Raharim. & Federman"
"Minuartia laricifolia subsp. laricifolia"
"Canarium velutinifolium Daly, Raharim. & Federman"
"Canarium scholasticum Daly, Raharim. & Federman"
"Canarium fugax Daly, Raharim. & Federman"
"Canarium bullatum (Leenh.) Daly, Raharim. & Federman"
"Canarium compressum Daly, Raharim. & Federman"
"Canarium longistipulatum Daly, Raharim. & Federman"
"Canarium lamianum Daly, Raharim. & Federman"
"Canarium globosum Daly, Raharim. & Federman"
"Canarium ferrugineum Daly, Raharim. & Federman"
"Canarium galokense Daly, Raharim. & Federman"
"Didelotia korupensis Burgt"
"Epiphyllum lepidocarpum (F.A.C.Weber) Britton & Rose"
"Damburneya coriacea (Sw.) Trofimov & Rohwer"
"Caesalpinia pauciflora (Griseb.) C.Wright"
"Nectandra martinicensis Mez"
"Caesalpinia erianthera Chiov."
"Damburneya salicifolia (Kunth) Trofimov & Rohwer"
"Damburneya umbrosa (Kunth) Trofimov"
"Nectandra salicina C.K.Allen"
"Damburneya purpurea (Ruiz & Pav.) Trofimov"
"Nectandra patens (Sw.) Griseb."
"Nectandra nitida Mez"
"Heliotropium ternatum Vahl"
"Elaeocarpus firdausii Brambach, Coode, Biagioni & Culmsee"
"Dorstenia angusticornis Engl."
"Dorstenia scaphigera Bureau"
"Dorstenia alta Engl."
"Caesalpinia caladenia Standl."
"Caesalpinia argentina Burkart"
"Caesalpinia angulata (Hook. & Arn.) Baill."
"Caesalpinia acapulcensis Standl."
"Caesalpinia pannosa Brandegee"
"Caesalpinia coccinea G.P.Lewis & J.L.Contr."
"Caesalpinia exostemma subsp. exostemma"
"Caesalpinia yucatanensis Greenm."
"Caesalpinia palmeri S.Watson"
"Caesalpinia hintonii Sandwith"
"Caesalpinia placida Brandegee"
"Minuartia rupestris (Scop.) Schinz & Thell."
"Minuartia cherlerioides subsp. quadrifaria Wraber"
"Facchinia herniarioides (Rion) Dillenb. & Kadereit"
"Grewia hispidissima Wahlert, Phillipson & Mabb."
"Guatteria revoluta Maas & Westra"
"Guatteria pichinchae Maas & Westra"
"Dichroa febrifuga Lour."
"Hydrangea arguta (Gaudich.) Y.De Smet & C.Granados"
"Dorstenia turbinata Engl."
"Caesalpinia mimosoides Lam."
"Annesijoa novoguineensis Pax & K.Hoffm."
"Laetia coriacea Spruce ex Benth."
"Laetia ovalifolia J.F.Macbr."
"Hybanthus mexicanus Ging."
"Koenigia mollis (D.Don) T.M.Schust. & Reveal"
"Polygonum tortuosum D.Don"
"Libidibia monosperma (Tul.) Gagnon & G.P.Lewis"
"Limonium proliferum (d'Urv.) Erben & Brullo"
"Caesalpinia tortuosa Roxb."
"Mezoneuron welwitschianum Oliv."
"Caesalpinia digyna Rottler"
"Middletonia multiflora (R.Br.) C.Puglisi"
"Melicope confusa (Merr.) Tang S.Liu"
"Glischrothamnus ulei Pilg."
"Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre"
"Alyssum sibiricum Willd."
"Odontarrhena chalcidica (Janka) Španiel, Al-Shehbaz, D.A.German & Marhold"
"Alyssum corsicum Duby"
"Oreosalsola abrotanoides (Bunge) Akhani"
"Pseuderanthemum carruthersii (Seem.) Guillaumin"
"Pochota fendleri (Seem.) W.S.Alverson & M.C.Duarte"
"Populus suaveolens Fisch."
"Ziziphus parryi var. parryi"
"Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis"
"Schaueria azaleiflora Rusby"
"Pachystachys cordata (Nees) A.L.A.Côrtes"
"Sarcomphalus amole (Sessé & Moc.) Hauenschild"
"Ziziphus rhodoxylon Urb."
"Ziziphus mistol Griseb."
"Ziziphus joazeiro Mart."
"Ziziphus guatemalensis Hemsl."
"Ziziphus cinnamomum Triana & Planch."
"Ziziphus obtusifolia (Hook. ex Torr. & A.Gray) A.Gray"
"Sloanea eugenifloresiae Aguilar & D.Santam."
"Storthocalyx corymbosus Munzinger, Lowry, Buerki & Callm."
"Azorella prolifera (Cav.) G.M.Plunkett & A.N.Nicolas"
"Tovomita megantha L.Marinho & Amorim"
"Anodendron affine (Hook. & Arn.) Druce"
"Uvariopsis citrata Couvreur & Niang."
"Vochysia moskovitsiana Huamantupa"
"Wilczekra gabonica Breteler"
"Xylopia ngii D.M.Johnson & N.A.Murray"
"Xylopia heterotricha D.M.Johnson & N.A.Murray"
"Azorella colensoi (Domin) G.M.Plunkett & A.N.Nicolas"
"Caesalpinia oppositifolia Hattink"
"Caesalpinia parviflora Prain"
"Calophyllum africanum Cheek & Q.Luke"
"Echinocereus relictus Wellard"
"Erythrostemon hughesii (G.P.Lewis) Gagnon & G.P.Lewis"
"Caesalpinia melanadenia (Rose) Standl."
"Caesalpinia fimbriata Tul."
"Caesalpinia mexicana A.Gray"
"Passiflora cerradensis Sacco"
"Falcataria moluccana (Miq.) Barneby & J.W.Grimes"
"Limadendron hostmannii (Benth.) Meireles & A.M.G.Azevedo"
"Rhytidosporum procumbens (Hook.) F.Muell."
"Anodendron candolleanum Wight"
"Anodendron coriaceum (Blume) Miq."
"Tara vesicaria (L.) Molinari, Sánchez Och. & Mayta"
"Caesalpinia cacalaco Bonpl."
"Hylandia dockrillii Airy Shaw"
"Rubus humulifolius C.A.Mey."
"Hymenocardia acida Tul."
"Hymenocardia heudelotii Planch. ex Müll.Arg."
"Mezoneuron schlechteri (Harms) R.Clark"
"Hymenocardia lyrata Tul."
"Hymenocardia punctata Wall. ex Lindl."
"Hymenocardia ripicola J.Léonard"
"Hymenocardia ulmoides Oliv."
"Ranunculus mongolicus (Krylov) Serg."
"Hymenocoleus axillaris Robbr."
"Hymenocoleus barbatus Robbr."
"Hymenocoleus glaber Robbr."
"Hymenocoleus globulifer Robbr."
"Hymenocoleus hirsutus (Benth.) Robbr."
"Hymenocoleus libericus (A.Chev. ex Hutch. & Dalziel) Robbr."
"Hymenocoleus multinervis Robbr."
"Hymenocoleus nervopilosus Robbr."
"Hymenocoleus neurodictyon var. neurodictyon"
"Hymenocoleus rotundifolius (A.Chev. ex Hepper) Robbr."
"Hymenocoleus scaphus (K.Schum.) Robbr."
"Hymenocoleus subipecacuanha (K.Schum.) Robbr."
"Hymenodictyon berivotrense Cavaco"
"Hymenodictyon decaryi Homolle"
"Hymenodictyon horsfieldii Miq."
"Itea oldhamii C.K.Schneid."
"Hymenodictyon leandrii Cavaco"
"Hymenodictyon louhavate Homolle"
"Crossostylis sebertii Brongn. & Gris"
"Hymenodictyon occidentale Homolle"
"Symbolanthus australis Struwe"
"Hymenodictyon orixense (Roxb.) Mabb."
"Garcinia hennecartii Pierre ex Schltr."
"Hymenodictyon parvifolium subsp. parvifolium"
"Hymenodictyon perrieri Drake"
"Sarcopera oxystylis (Baill.) Bedell ex Gir.-Cañas"
"Hymenodictyon septentrionale Cavaco"
"Pourouma cuspidata Warb. ex Mildbr."
"Anodendron oblongifolium Hemsl."
"Hymenopyramis brachiata Wall. ex Griff."
"Neosprucea paterna M.H.Alford"
"Olax thouarsii (DC.) Valeton"
"Stephanodaphne pilosa Z.S.Rogers"
"Stephanodaphne schatzii Z.S.Rogers"
"Acalypha pendula C.Wright ex Griseb."
"Hypenia brachystachys (Pohl ex Benth.) Harley"
"Hypenia densiflora (Pohl ex Benth.) Harley"
"Hypenia marifolia (Benth.) Harley"
"Hypenia paradisi (Harley) Harley"
"Hypenia pauliana (Epling) Harley"
"Anodendron seramense D.J.Middleton"
"Hyperacanthus amoenus (Sims) Bridson"
"Anodendron whitmorei D.J.Middleton"
"Galenia africana L."
"Cinnamomum costaricanum (Mez & Pittier) Kosterm."
"Cinnamomum padiforme (Standl. & Steyerm.) Kosterm."
"Cinnamomum tonduzii (Mez) Kosterm."
"Sorbus graeca var. orbiculata (Zinserl.) Gabrieljan"
"Cinnamomum haussknechtii (Mez) Kosterm."
"Aria obtusifolia (DC.) Sennikov & Kurtto"
"Sorbus danubialis (Jáv.) Kárpáti"
"Sorbus collina M.Lepsí, P.Lepsí & N.Mey."
"Cinnamomum hammelianum (W.C.Burger) Lorea-Hern. ex J.A.González & Hammel"
"Cinnamomum glaziovii (Mez) Kosterm."
"Aiouea montana (Sw.) R.Rohde"
"Phoebe pachypoda (Nees) Mez"
"Cinnamomum neurophyllum (Mez & Pittier) Kosterm."
"Arthrocnemum macrostachyum (Moric.) K.Koch"
"Arthroceras subterminale (Parish) Piirainen & G.Kadereit"
"Cinnamomum brenesii (Standl.) Kosterm."
"Cinnamomum formicarium van der Werff & Lorea-Hern."
"Alseodaphnopsis andersonii (King ex Hook.fil.) H.W.Li & J.Li"
"Alseodaphne petiolaris (Meisn.) Hook.fil."
"Cinnamomum napoense van der Werff"
"Emorya suaveolens Torr."
"Beguea vulgaris G.E.Schatz, Gereau & Lowry"
"Beguea ankeranensis G.E.Schatz & Lowry"
"Beguea turkii G.E.Schatz, Gereau & Lowry"
"Beguea galokensis G.E.Schatz & Lowry"
"Hilsenbergia leslieae J.S.Mill."
"Bourreria moratiana (J.S.Mill.) J.S.Mill. & Gottschling"
"Bourreria bosseri (J.S.Mill.) J.S.Mill. & Gottschling"
"Caesalpinia velutina (Britton & Rose) Standl."
"Ceanothus pendletonensis D.O.Burge, Rebman & M.R.Mulligan"
"Causonis trifolia (L.) Mabb. & J.Wen"
"Cherleria yukonensis (Hultén) A.J.Moore & Dillenb."
"Bauhinia glauca subsp. tenuiflora (Watt ex C.B.Clarke) K.Larsen & S.S.Larsen"
"Cheniella glauca (Benth.) R.Clark & Mackinder"
"Minuartia circassica (Albov) Woronow"
"Decorsella arborea Jongkind"
"Minuartia langii (G.Reuss) Holub"
"Cherleria arctica (Steven ex Ser.) A.J.Moore & Dillenb."
"Bauhinia lakhonensis Gagnep."
"Daviesia devito Crisp & L.G.Cook"
"Doliocarpus brevipedicellatus subsp. hilarianus Kubitzki"
"Ruellia marlothii Engl."
"Lemuropisum edule H.Perrier"
"Hypobathrum racemosum (Roxb.) Kurz"
"Erythroxylum amplifolium (Mart.) O.E.Schulz"
"Hypocalymma angustifolium Schauer"
"Hypocalymma cordifolium Schauer"
"Heliotropium arboreum (Blanco) Mabb."
"Hebepetalum humiriifolium (Planch.) Benth."
"Horsfieldia fulva (King) Warb."
"Hedlundia sognensis (Hedl. ex Sennikov, Hjertson & Salvesen) Sennikov & Kurtto"
"Hedlundia subarranensis (Hyl. ex Sennikov, Hjertson & Salvesen) Sennikov & Kurtto"
"Hedlundia lancifolia (Hedl.) Sennikov & Kurtto"
"Hedlundia subpinnata (Hedl.) Sennikov & Kurtto"
"Hedlundia neglecta (Hedl.) Sennikov & Kurtto"
"Hedlundia meinichii (Lindeb. ex Hartm.) Sennikov & Kurtto"
"Hedlundia hybrida (L.) Sennikov & Kurtto"
"Hedlundia subsimilis (Hedl.) Sennikov & Kurtto"
"Juanulloa ochracea Cuatrec."
"Hypocalymma robustum (Endl.) Lindl."
"Hackelia latifolia (R.Br.) Dimon & M.A.M.Renner"
"Itea rhamnoides (Harv.) Kubitzki"
"Hypocalymma strictum Schauer"
"Monanthotaxis enghiana (Diels) P.H.Hoekstra"
"Monanthotaxis gracilis (Hook.f.) P.H.Hoekstra"
"Monanthotaxis montana (Engl. & Diels) P.H.Hoekstra"
"Monanthotaxis scamnopetala (Exell) P.H.Hoekstra"
"Sorbus erubescens A.Kern. ex Dippel"
"Hyptianthera stricta (Roxb. ex Sm.) Wight & Arn."
"Hyptidendron amethystoides (Benth.) Harley"
"Hyptidendron arboreum (Benth.) Harley"
"Hyptidendron conspersum (Benth.) Harley"
"Hyptidendron glutinosum (Benth.) Harley"
"Hyptidendron vauthieri (Briq.) Harley"
"Ocotea megistophylla van der Werff"
"Pterospermum suberifolium (L.) Lam."
"Pseudephedranthus enigmaticus Maas & Westra"
"Petrosedum subulatum (C.A.Mey.) Afferni"
"Rubus naumannii Schön"
"Rubus psilander A.Beek"
"Staphylea japonica (Thunb.) Mabb."
"Rubus discors A.Beek"
"Ventilago oblongifolia Blume"
"Cardiospermum spinosum Radlk."
"Cardiospermum dissectum (S.Watson) Radlk."
"Cardiospermum tortuosum Benth."
"Hyptis balansae Briq."
"Smythea macrocarpa Hemsl."
"Sphaerocoryne gracilipes (Benth.) X.Guo & R.M.K.Saunders"
"Hyptis brachiata Briq."
"Tachigali spathulipetala L.F.Gomes da Silva, L.J.T.Cardoso, D.B.O.S.Cardoso & H.C.Lim"
"Pteleopsis anisoptera (M.A.Lawson) Engl. & Diels"
"Dystovomita brasiliensis D' Arcy"
"Terminalia fanshawei (Exell & Maguire) Gere & Boatwr."
"Terminalia pallidovirens (Cuatrec.) Gere & Boatwr."
"Pteleopsis myrtifolia (M.A.Lawson) Engl. & Diels"
"Terminalia megalophylla (Van Heurck & Müll.Arg.) Gere & Boatwr."
"Buchenavia macrophylla Spruce ex Eichler"
"Pteleopsis hylodendron Mildbr."
"Terminalia grandis (Ducke) Gere & Boatwr."
"Pteleopsis suberosa Engl. & Diels"
"Buchenavia sericocarpa Ducke"
"Anogeissus dhofarica A.J.Scott"
"Terminalia costaricensis (Stace) Gere & Boatwr."
"Buchenavia congesta Ducke"
"Terminalia habeensis (Aubrév. ex Keay) Gere & Boatwr."
"Thinouia trifoliolata (Radlk.) Acev.-Rodr. & Ferrucci"
"Anogeissus bentii Baker"
"Sorbus torminalis (L.) Crantz"
"Buchenavia guianensis (Aubl.) Alwan & Stace"
"Buchenavia suaveolens Spruce ex Eichler"
"Buchenavia reticulata Eichler"
"Anogeissus acuminata (Roxb. ex DC.) Guillaumin & Perr."
"Pteleopsis tetraptera Wickens"
"Pteleopsis diptera (Welw.) Engl. & Diels"
"Buchenavia viridiflora Ducke"
"Cardiospermum oliveirae Ferrucci"
"Wadithamnus artemisioides subsp. batharitica (A.G.Mill. & J.A.Nyberg) T.Hammer & R.W.Davis"
"Dalbergia xylocarpa O.Lachenaud"
"Pseudobombax majus (A.Robyns) Carv.-Sobr."
"Hyptis conferta Pohl ex Benth."
"Varronia podocephala (Torr.) Borhidi"
"Allophylus bertoua Cheek"
"Saurauia agamae Merr."
"Memecylon edule Roxb."
"Memecylon ovatum Sm."
"Memecylon plebejum Kurz"
"Memecylon scutellatum (Lour.) Hook. & Arn."
"Acalypha peruviana Müll.Arg."
"Memecylon umbellatum Burm.fil."
"Memecylon wightii Thwaites"
"Pternandra coerulescens Jack"
"Hyptis hirsuta Kunth"
"Meriania brachycera (Naudin) Humberto Mend. & Fern.Alonso"
"Meriania drakei (Cogn.) Wurdack"
"Meriania heptamera Lozano & Alvear"
"Meriania hexamera Sprague"
"Meriania peltata L.Uribe"
"Meriania maxima Markgr."
"Meriania pastazana Wurdack"
"Meriania peltata L.Uribe"
"Meriania phlomoides (Triana) Almeda"
"Meriania quintuplinervis Naudin"
"Meriania rigida (Benth.) Triana"
"Meriania sanguinea Wurdack"
"Meriania spruceana Cogn."
"Meriania tomentosa (Cogn.) Wurdack"
"Meriania urceolata Triana"
"Hyptis lacustris A.St.-Hil. ex Benth."
"Hyptis lanceolata Poir."
"Dissochaeta acmura Stapf & M.L.Green"
"Dissochaeta angiensis Kaneh. & Hatus. ex Ohwi"
"Dissochaeta annulata Hook.fil. ex Triana"
"Dissochaeta axillaris Cogn."
"Dissochaeta bakhuizenii Veldkamp"
"Dissochaeta beccariana Cogn."
"Dissochaeta bracteata (Jack) Blume"
"Dissochaeta celebica Blume"
"Dissochaeta conica (Bakh.fil.) Clausing"
"Dissochaeta divaricata (Willd.) G.Don"
"Dissochaeta fallax (Jack) Blume"
"Dissochaeta glandulosa Merr."
"Dissochaeta gracilis (Jack) Blume"
"Dissochaeta hirsutoidea Furtado"
"Dissochaeta intermedia Blume"
"Dissochaeta pallida (Jack) Blume"
"Dissochaeta pulchra (Korth.) J.F.Maxwell"
"Dissochaeta punctulata Hook.fil. ex Triana"
"Dissochaeta rostrata Korth."
"Dissochaeta schumannii Cogn."
"Dissochaeta spectabilis J.F.Maxwell"
"Dissochaeta stipularis (Blume) Backer ex Clausing"
"Dissochaeta viminalis (Jack) Clausing"
"Macrolenes annulata (Vent.) Naudin"
"Medinilla balls-headleyi F.Muell."
"Acalypha meiodonta Baill."
"Pseudodissochaeta septentrionalis (W.W.Sm.) M.P.Nayar"
"Hyptis microphylla Pohl ex Benth."
"Hyptis obtusiflora C.Presl ex Benth."
"Hyptis odorata Benth."
"Miconia bicolor (Mill.) Triana"
"Miconia calvescens DC."
"Hyptis passerina Mart. ex Benth."
"Miconia corymbiformis Cogn."
"Miconia jahnii Pittier"
"Miconia stenophylla Wurdack"
"Hyptis rotundifolia Benth."
"Blastus cochinchinensis Lour."
"Bertolonia maculata DC."
"Sonerila tenera Royle"
"Hyptis villosa Pohl ex Benth."
"Dichaetanthera cordifolia Baker"
"Melastoma minahassae Koord. ex K.Mey."
"Melastoma sanguineum Sims"
"Melastomastrum autranianum (Cogn.) A.Fern. & R.Fern."
"Osbeckia aspera (L.) Blume"
"Osbeckia australiana Naudin"
"Osbeckia chinensis L."
"Osbeckia nepalensis Hook."
"Osbeckia reticulata Bedd."
"Osbeckia stellata Buch.-Ham. ex D.Don"
"Heterotis rotundifolia (Sm.) Jacq.-Fél."
"Tristemma mauritianum J.F.Gmel."
"Hyssopus officinalis L."
"Tristemma vestitum Jacq.-Fél."
"Brachyotum jamesonii Triana"
"Monochaetum bonplandii (Kunth) Naudin"
"Monochaetum glanduliferum Triana"
"Monochaetum hartwegianum Naudin"
"Monochaetum humboldtianum (Kunth & Bouché) Kunth"
"Monochaetum lineatum (D.Don) Naudin"
"Monochaetum meridense (Klotzsch ex H.Karst.) Naudin"
"Monochaetum multiflorum (Bonpl.) Naudin"
"Monochaetum myrtoideum (Bonpl.) Naudin"
"Monochaetum polyneurum Triana"
"Pleroma elegans Gardner"
"Bucquetia glutinosa (L.fil.) DC."
"Microlicia curralensis Brade"
"Ichnocarpus frutescens (L.) W.T.Aiton"
"Ichnocarpus fulvus Kerr"
"Macrolenes dimorpha (Craib) J.F.Maxwell"
"Macrolenes nemorosa (Jack) Bakh.fil."
"Dissochaeta leprosa (Blume) Blume"
"Dissochaeta biligulata Korth."
"Macrolenes muscosa (Blume) Bakh.fil."
"Macrolenes pachygyna (Korth.) M.P.Nayar"
"Macrolenes stellulata (Jack) Bakh.fil."
"Dissochaeta densiflora Ridl."
"Dissochaeta porphyrocarpa Ridl."
"Dissochaeta inappendiculata Blume"
"Medinilla spirei Guillaumin"
"Isertia coccinea (Aubl.) J.F.Gmel."
"Isertia haenkeana DC."
"Isertia laevis (Triana) B.M.Boom"
"Isertia longifolia (Hoffmanns. ex Schult.) K.Schum."
"Isertia parviflora Vahl"
"Isertia pittieri (Standl.) Standl."
"Isertia reticulata Britton ex Rusby"
"Isertia rosea Spruce ex K.Schum."
"Isertia spiciformis DC."
"Isertia verrucosa (Humb. & Bonpl.) Standl."
"Isidorea leonardii Urb."
"Isidorea pungens (Lam.) B.L.Rob."
"Anomostachys lastellei (Müll.Arg.) Kruijt"
"Isodon hispidus (Benth.) Murata"
"Isodon ramosissimus (Hook.f.) Codd"
"Isodon rugosus (Wall. ex Benth.) Codd"
"Isodon schimperi (Vatke) J.K.Morton"
"Isodon ternifolius (D.Don) Kudô"
"Plectranthus teysmannii Miq."
"Melastoma imbricatum Wall. ex Triana"
"Memecylon heyneanum Benth. ex Wight & Arn."
"Isonandra lanceolata Wight"
"Isonandra montana (Thwaites) Gamble"
"Isonandra perrottetiana A.DC."
"Solanum aculeastrum Dunal"
"Solanum aculeatissimum Jacq."
"Solanum aligerum Schltdl."
"Solanum angustifidum Bitter"
"Solanum anomalum Thonn."
"Solanum asperolanatum Ruiz & Pav."
"Solanum aureum Humb. & Bonpl. ex Dunal"
"Solanum bahamense L."
"Solanum barbisetum Nees"
"Isonema buchholzii Engl."
"Solanum betaceum Cav."
"Isonema infundibuliflorum Stapf"
"Solanum boldoense A.DC.Dunal"
"Solanum bonariense L."
"Isonema smeathmannii Roem. & Schult."
"Solanum campechiense L."
"Solanum campylacanthum Hochst. ex A.Rich."
"Solanum cerasiferum Dunal"
"Solanum chrysotrichum Schltdl."
"Solanum cordatum Forssk."
"Solanum crispum Ruiz & Pav."
"Solanum crotonoides Lam."
"Solanum cutervanum Zahlbr."
"Solanum cyaneopurpureum De Wild."
"Solanum dasyphyllum Schumach. & Thonn."
