"","(Intercept)","abs_lat","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"242",-0.151,0.35,NA,NA,NA,0.063,-0.2,0.078,0.01,8,-2100.137,4216.365,40.342,0
"135",-0.138,NA,-0.146,-0.11,NA,NA,NA,NA,0.067,6,-2102.179,4216.411,40.389,0
"160",-0.138,-0.012,-0.19,-0.148,0.076,0.05,NA,NA,0.073,9,-2099.495,4217.105,41.082,0
"143",-0.138,NA,-0.209,-0.134,0.075,NA,NA,NA,0.06,7,-2101.613,4217.297,41.275,0
"220",-0.142,0.101,0.062,NA,-0.183,0.02,NA,0.123,0.032,9,-2099.614,4217.342,41.32,0
"136",-0.137,-0.025,-0.151,-0.125,NA,NA,NA,NA,0.075,7,-2102.037,4218.146,42.124,0
"201",-0.13,NA,NA,NA,-0.17,NA,NA,0.09,0.075,6,-2103.164,4218.381,42.358,0
"68",-0.134,0.135,-0.11,NA,NA,NA,NA,0.087,NA,6,-2103.237,4218.527,42.505,0
"98",-0.156,0.35,NA,NA,NA,NA,-0.193,0.104,NA,6,-2103.43,4218.913,42.891,0
"31",-0.13,NA,-0.236,-0.172,0.118,0.041,NA,NA,NA,7,-2102.502,4219.075,43.053,0
"233",-0.127,NA,NA,NA,-0.185,NA,-0.041,0.079,0.088,7,-2102.504,4219.079,43.056,0
"144",-0.137,-0.022,-0.211,-0.146,0.073,NA,NA,NA,0.066,8,-2101.508,4219.107,43.085,0
"84",-0.133,0.141,-0.099,NA,NA,0.028,NA,0.082,NA,7,-2102.648,4219.367,43.345,0
"203",-0.133,NA,0.064,NA,-0.23,NA,NA,0.11,0.073,7,-2102.833,4219.737,43.715,0
"15",-0.131,NA,-0.248,-0.163,0.112,NA,NA,NA,NA,6,-2103.877,4219.807,43.785,0
"217",-0.129,NA,NA,NA,-0.163,0.018,NA,0.082,0.08,7,-2102.926,4219.923,43.901,0
"196",-0.135,0.117,-0.114,NA,NA,NA,NA,0.078,0.026,7,-2102.94,4219.95,43.928,0
"23",-0.129,NA,-0.139,-0.137,NA,0.038,NA,NA,NA,6,-2103.997,4220.048,44.025,0
"212",-0.134,0.117,-0.102,NA,NA,0.033,NA,0.067,0.036,8,-2102.112,4220.315,44.293,0
"32",-0.132,0.036,-0.224,-0.148,0.116,0.044,NA,NA,NA,8,-2102.161,4220.414,44.392,0
"7",-0.13,NA,-0.155,-0.13,NA,NA,NA,NA,NA,5,-2105.212,4220.461,44.439,0
"235",-0.13,NA,0.059,NA,-0.24,NA,-0.04,0.098,0.086,8,-2102.226,4220.544,44.521,0
"249",-0.126,NA,NA,NA,-0.178,0.017,-0.041,0.072,0.093,8,-2102.293,4220.677,44.654,0
"226",-0.156,0.36,NA,NA,NA,NA,-0.195,0.107,-0.013,7,-2103.358,4220.787,44.765,0
"24",-0.132,0.039,-0.129,-0.112,NA,0.042,NA,NA,NA,7,-2103.599,4221.27,45.247,0
"178",-0.151,0.333,NA,NA,NA,0.088,-0.219,NA,0.049,7,-2103.624,4221.318,45.296,0
"219",-0.133,NA,0.06,NA,-0.219,0.016,NA,0.101,0.078,8,-2102.646,4221.384,45.362,0
"157",-0.145,NA,NA,-0.092,-0.107,0.062,NA,NA,0.095,7,-2103.707,4221.485,45.463,0
"16",-0.132,0.023,-0.241,-0.147,0.11,NA,NA,NA,NA,7,-2103.732,4221.535,45.513,0
"50",-0.147,0.373,NA,NA,NA,0.084,-0.235,NA,NA,6,-2104.856,4221.766,45.744,0
"8",-0.132,0.026,-0.149,-0.113,NA,NA,NA,NA,NA,6,-2105.022,4222.096,46.074,0
"251",-0.13,NA,0.055,NA,-0.229,0.016,-0.039,0.09,0.091,9,-2102.058,4222.231,46.209,0
"61",-0.132,NA,NA,-0.192,-0.144,0.043,-0.129,NA,NA,7,-2104.489,4223.05,47.028,0
"148",-0.131,0.078,-0.12,NA,NA,0.049,NA,NA,0.07,7,-2104.528,4223.126,47.104,0
"158",-0.145,0.001,NA,-0.091,-0.106,0.062,NA,NA,0.094,8,-2103.707,4223.505,47.483,0
"73",-0.118,NA,NA,NA,-0.182,NA,NA,0.109,NA,5,-2106.876,4223.789,47.767,0
"45",-0.133,NA,NA,-0.183,-0.164,NA,-0.136,NA,NA,6,-2105.992,4224.037,48.015,0
"166",-0.169,0.265,NA,-0.148,NA,NA,-0.26,NA,0.044,7,-2105.087,4224.245,48.223,0
"38",-0.165,0.304,NA,-0.143,NA,NA,-0.273,NA,NA,6,-2106.104,4224.261,48.238,0
"185",-0.126,NA,NA,NA,-0.171,0.042,-0.067,NA,0.125,7,-2105.218,4224.508,48.485,0
"75",-0.123,NA,0.078,NA,-0.255,NA,NA,0.133,NA,6,-2106.393,4224.839,48.817,0
"132",-0.13,0.068,-0.144,NA,NA,NA,NA,NA,0.063,6,-2106.418,4224.89,48.868,0
"156",-0.131,0.073,-0.103,NA,-0.021,0.049,NA,NA,0.073,8,-2104.47,4225.032,49.01,0
"187",-0.122,NA,-0.066,NA,-0.111,0.037,-0.061,NA,0.118,8,-2104.599,4225.29,49.268,0
"171",-0.122,NA,-0.083,NA,-0.112,NA,-0.067,NA,0.111,7,-2105.658,4225.388,49.366,0
"169",-0.127,NA,NA,NA,-0.191,NA,-0.077,NA,0.119,6,-2106.669,4225.391,49.369,0
"147",-0.123,NA,-0.146,NA,NA,0.041,NA,NA,0.1,6,-2106.849,4225.752,49.73,0
"89",-0.119,NA,NA,NA,-0.183,-0.004,NA,0.11,NA,6,-2106.865,4225.784,49.762,0
"141",-0.145,NA,NA,-0.075,-0.135,NA,NA,NA,0.086,6,-2106.869,4225.79,49.768,0
"105",-0.118,NA,NA,NA,-0.182,NA,0,0.109,NA,6,-2106.876,4225.804,49.782,0
"181",-0.16,NA,NA,-0.219,NA,0.095,-0.11,NA,0.117,7,-2105.954,4225.979,49.957,0
"154",-0.137,0.06,NA,NA,-0.117,0.057,NA,NA,0.087,7,-2105.969,4226.009,49.987,0
"153",-0.132,NA,NA,NA,-0.142,0.05,NA,NA,0.11,6,-2107.116,4226.286,50.263,0
"155",-0.126,NA,-0.083,NA,-0.07,0.042,NA,NA,0.103,7,-2106.11,4226.29,50.268,0
"195",-0.123,NA,-0.155,NA,NA,NA,NA,0.039,0.083,6,-2107.123,4226.3,50.277,0
"20",-0.126,0.117,-0.122,NA,NA,0.042,NA,NA,NA,6,-2107.166,4226.386,50.364,0
"131",-0.123,NA,-0.163,NA,NA,NA,NA,NA,0.091,5,-2108.205,4226.448,50.426,0
"179",-0.119,NA,-0.158,NA,NA,0.037,-0.037,NA,0.109,7,-2106.192,4226.455,50.433,0
"163",-0.119,NA,-0.175,NA,NA,NA,-0.044,NA,0.102,6,-2107.27,4226.593,50.571,0
"211",-0.123,NA,-0.143,NA,NA,0.033,NA,0.028,0.092,7,-2106.327,4226.726,50.704,0
"140",-0.131,0.062,-0.125,NA,-0.024,NA,NA,NA,0.067,7,-2106.35,4226.771,50.749,0
"91",-0.124,NA,0.079,NA,-0.258,-0.006,NA,0.135,NA,7,-2106.369,4226.809,50.786,0
"107",-0.123,NA,0.078,NA,-0.254,NA,0.001,0.133,NA,7,-2106.393,4226.856,50.834,0
"139",-0.126,NA,-0.105,NA,-0.066,NA,NA,NA,0.093,6,-2107.559,4227.171,51.149,0
"4",-0.126,0.105,-0.143,NA,NA,NA,NA,NA,NA,5,-2108.6,4227.239,51.217,0
"82",-0.15,0.194,NA,NA,NA,0.055,NA,0.104,NA,6,-2107.752,4227.558,51.536,0
"227",-0.12,NA,-0.165,NA,NA,NA,-0.028,0.028,0.092,7,-2106.818,4227.707,51.685,0
"142",-0.145,-0.009,NA,-0.08,-0.137,NA,NA,NA,0.089,7,-2106.849,4227.77,51.748,0
"121",-0.119,NA,NA,NA,-0.184,-0.004,-0.001,0.11,NA,7,-2106.865,4227.801,51.779,0
"243",-0.12,NA,-0.153,NA,NA,0.033,-0.028,0.018,0.101,8,-2106.026,4228.143,52.121,0
"28",-0.126,0.12,-0.138,NA,0.019,0.043,NA,NA,NA,7,-2107.12,4228.311,52.289,0
