"","x"
"93","Euptelea_polyandra_Siebold_&_Zucc."
"94","Sarcococca_wallichii_Stapf"
"95","Aristolochia_maxima_Jacq."
"96","Sinomenium_acutum_-Thunb.-_Rehder_&_E.H.Wilson"
"97","Picramnia_latifolia_Tul."
"98","Nepenthes_bicalcarata_Hook.fil."
"99","Melanophylla_modestei_G.E.Schatz-_Lowry_&_A.-E.Wolf"
"100","Mida_salicifolia_A.Cunn."
"101","Holboellia_angustifolia_subsp._angustifolia"
"102","Nekemias_cantoniensis_-Hook._&_Arn.-_J.Wen_&_Z.L.Nie"
"103","Haematodendron_glabrum_Capuron"
"104","Deutzia_triradiata_Nakai"
"105","Schisandra_sphenanthera_Rehder_&_E.H.Wilson"
"106","Balanites_maughamii_Sprague"
"107","Mezzettia_parviflora_Becc."
"108","Liquidambar_orientalis_Mill."
"109","Zygogynum_bicolor_Tiegh."
"110","Iryanthera_hostmannii_-Benth.-_Warb."
"111","Crassula_arborescens_-Mill.-_Willd."
"112","Meliosma_occidentalis_Cuatrec."
"113","Lardizabala_funaria_-Molina-_Looser"
"114","Legnephora_moorei_-F.Muell.-_Miers"
"115","Machilus_japonica_Siebold_&_Zucc."
"116","Jasminum_fruticans_L."
"117","Gonocaryum_litorale_-Blume-_Sleumer"
"118","Ripogonum_scandens_J.R.Forst._&_G.Forst."
"119","Platanus_racemosa_Nutt."
"120","Myriophyllum_spicatum_L."
"121","Aphanopetalum_resinosum_Endl."
"122","Ripogonum_fawcettianum_F.Muell._ex_Benth."
"123","Aristolochia_acutifolia_Duch."
"124","Leea_angulata_Korth._ex_Miq."
"125","Aristolochia_ringens_Vahl"
"126","Akania_bidwillii_-Hend._ex_Hogg-_Mabb."
"127","Ascarina_maheshwarii_Swamy"
"128","Loropetalum_chinense_var._rubrum_Yieh"
"129","Euptelea_pleiosperma_Hook.fil._&_Thomson"
"130","Schisandra_propinqua_-Wall.-_Baill."
"131","Jacquinia_arborea_Vahl"
"132","Trochodendron_aralioides_Siebold_&_Zucc."
"133","Chimonanthus_praecox_-L.-_Link"
"134","Anagallis_angustiloba_-Engl.-_Engl."
"135","Styloceras_laurifolium_-Willd.-_Kunth"
"136","Chrysosplenium_ramosum_Maxim."
"137","Calycanthus_occidentalis_Hook._&_Arn."
"138","Aegiceras_corniculatum_-L.-_Blanco"
"139","Didymeles_integrifolia_J.St.-Hil."
"140","Bellendena_montana_R.Br."
"141","Ophiocaryon_heterophyllum_-Benth.-_Urb."
"142","Thalictrum_decipiens_B.Boivin"
"143","Momordica_angustisepala_Harms"
"144","Hedyosmum_orientale_Merr._&_Chun"
"145","Peperomia_nivalis_Miq."
"146","Anaxagorea_silvatica_R.E.Fr."
"147","Platanus_wrightii_S.Watson"
"148","Hernandia_ovigera_L."
"149","Alchemilla_verticillata_Fielding_&_Gardner"
"150","Knema_cinerea_-Poir.-_Warb."
"151","Platanus_orientalis_L."
"152","Buxus_sempervirens_L."
"153","Ptychopetalum_petiolatum_Oliv."
"154","Strychnopsis_thouarsii_Baill."
"155","Horsfieldia_sylvestris_-Houtt.-_Warb."
"156","Roupala_glaberrima_Pittier"
"157","Xanthorhiza_simplicissima_Marshall"
"158","Trichostigma_peruvianum_-Moq.-_H.Walter"
"159","Beauprea_spathulifolia_Brongn._&_Gris"
"160","Tetracera_scandens_-L.-_Merr."
"161","Diploclisia_glaucescens_-Blume-_Diels"
"162","Magnolia_insignis_Wall."
"163","Ampelocissus_thyrsiflora_-Blume-_Planch."
"164","Leea_spinea_Desc."
"165","Crassula_multicava_Lem."
"166","Drimys_granadensis_L.fil."
"167","Drosera_madagascariensis_DC."
"168","Crypteronia_griffithii_C.B.Clarke"
"169","Simmondsia_chinensis_-Link-_C.K.Schneid."
"170","Ludwigia_palustris_-L.-_Elliott"
"171","Fagus_crenata_Blume"
"172","Myristica_globosa_subsp._muelleri_-Warb.-_W.J.de_Wilde"
"173","Pachysandra_axillaris_Franch."
"174","Zippelia_begoniifolia_Blume"
"175","Thottea_piperiformis_-Griff.-_Mabb."
"176","Daphnandra_micrantha_-Tul.-_Benth."
"177","Hedyosmum_lechleri_Solms"
"178","Sabia_campanulata_Wall."
"179","Zygogynum_tanyostigma_Vink"
"180","Afrostyrax_lepidophyllus_Mildbr."
"181","Fuchsia_paniculata_Lindl."
"182","Myrothamnus_flabellifolius_-Sond.-_Welw."
"183","Brunellia_acutangula_Bonpl."
"184","Galipea_laxiflora_Engl."
"185","Piper_betle_L."
"186","Eucnide_rupestris_-Baill.-_H.J.Thomps._&_W.R.Ernst"
"187","Neostrearia_fleckeri_L.S.Sm."
"188","Coriaria_ruscifolia_L."
"189","Ongokea_gore_-Hua-_Pierre"
"190","Saxifraga_seguieri_Spreng."
"191","Bubbia_queenslandiana_subsp._australis_Vink"
"192","Huidobria_chilensis_Gay"
"193","Jamesia_americana_Torr._&_A.Gray"
"194","Endiandra_wolfei_B.Hyland"
"195","Tiliacora_funifera_-Miers-_Oliv."
"196","Compsoneura_capitellata_-Poepp._ex_A.DC.-_Warb."
"197","Nothotalisia_peruviana_-Standl.-_W.W.Thomas"
"198","Aextoxicon_punctatum_Ruiz_&_Pav."
"199","Strasburgeria_robusta_-Vieill._ex_Pancher_&_Sebert-_Guillaumin"
"200","Ripogonum_discolor_F.Muell."
"201","Illicium_burmanicum_E.H.Wilson"
"202","Daphniphyllum_macropodum_Miq."
"203","Tristerix_verticillatus_-Ruiz_&_Pav.-_Barlow_&_Wiens"
"204","Medusandra_richardsiana_Brenan"
"205","Meliosma_idiopoda_S.F.Blake"
"206","Myrica_gale_L."
"207","Magnolia_floribunda_-Finet_&_Gagnep.-_Figlar"
"208","Schisandra_grandiflora_-Wall.-_Hook.fil._&_Thomson"
"209","Eupomatia_bennettii_F.Muell."
"210","Illicium_anisatum_L."
"211","Davilla_strigosa_Kubitzki"
"212","Platanus_orientalis_L."
"213","Anaxagorea_guatemalensis_Standl."
"214","Caryocar_glabrum_-Aubl.-_Pers."
"215","Trigynaea_duckei_-R.E.Fr.-_R.E.Fr."
"216","Siparuna_brasiliensis_-Spreng.-_A.DC."
"217","Heliciopsis_terminalis_-Kurz-_Sleumer"
"218","Opisthiolepis_heterophylla_L.S.Sm."
"219","Peumus_boldus_Molina"
"220","Hedyosmum_luteynii_Todzia"
"221","Bocconia_integrifolia_Bonpl."
"222","Viviania_marifolia_Cav."
"223","Cyanea_angustifolia_-Cham.-_Hillebr."
"224","Viburnum_punctatum_Buch.-Ham._ex_D.Don"
"225","Atriplex_lentiformis_-Torr.-_S.Watson"
"226","Tasmannia_insipida_R.Br._ex_DC."
"227","Santalum_acuminatum_-R.Br.-_A.DC."
"228","Pinzona_coriacea_Mart._&_Zucc."
"229","Diplokeleba_floribunda_N.E.Br."
"230","Chlorocardium_rodiei_-R.H.Schomb.-_Rohwer-_H.G.Richt._&_van_der_Werff"
"231","Daphnopsis_philippiana_Krug_&_Urb."
"232","Myristica_iners_Blume"
"233","Tasmannia_lanceolata_-Poir.-_A.C.Sm."
"234","Tapura_guianensis_Aubl."
"235","Monosis_volkameriifolia_-Wall._ex_DC.-_H.Rob._&_Skvarla"
"236","Carpolobia_lutea_G.Don"
"237","Buxus_glomerata_-Griseb.-_Müll.Arg."
"238","Ruptiliocarpon_caracolito_Hammel_&_N.Zamora"
"239","Leptoterantha_mayumbensis_-Exell-_Troupin"
"240","Tachigali_guianensis_-Benth.-_Zarucchi_&_Herend."
"241","Persoonia_media_R.Br."
"242","Porlieria_chilensis_I.M.Johnst."
"243","Calligonum_caput-medusae_Schrenk"
"244","Eucryphia_jinksii_P.I.Forst."
"245","Philadelphus_mexicanus_Schltdl."
"246","Glischrothamnus_ulei_Pilg."
"247","Platanus_occidentalis_L."
"248","Ochradenus_baccatus_Delile"
"249","Aristolochia_kaempferi_Willd."
"250","Cinnamosma_macrocarpa_H.Perrier"
"251","Disanthus_cercidifolius_Maxim."
"252","Ribes_spicatum_E.Robson"
"253","Siparuna_cristata_-Poepp._&_Endl.-_A.DC."
"254","Vesselowskya_rubifolia_-F.Muell.-_Pamp."
"255","Aristolochia_sempervirens_L."
"256","Tetrameranthus_laomae_D.R.Simpson"
"257","Sabia_yunnanensis_Franch."
"258","Berberis_bealei_Fortune"
"259","Ozoroa_pulcherrima_-Schweinf.-_R.Fern._&_A.Fern."
"260","Hedyosmum_colombianum_Cuatrec."
"261","Mollinedia_ovata_Ruiz_&_Pav."
"262","Staavia_radiata_-L.-_Dahl"
"263","Steganthera_australiana_C.T.White"
"264","Hedyosmum_translucidum_Cuatrec."
"265","Boquila_trifoliolata_-DC.-_Decne."
"266","Sambucus_canadensis_L."
"267","Bubbia_howeana_-F.Muell.-_Tiegh."
"268","Crossosoma_californicum_Nutt."
"269","Adenaria_floribunda_Kunth"
"270","Arenaria_armerina_Bory"
"271","Cayratia_clematidea_-F.Muell.-_Domin"
"272","Coscinium_fenestratum_-Gaertn.-_Colebr."
"273","Ulmus_glabra_Huds."
"274","Nitraria_schoberi_L."
"275","Alvaradoa_haitiensis_Urb."
"276","Muntingia_calabura_L."
"277","Bocconia_frutescens_L."
"278","Lepionurus_sylvestris_Blume"
"279","Magnolia_baillonii_Pierre"
"280","Hibbertia_commutata_Steud."
"281","Paeonia_delavayi_Franch."
"282","Actinidia_fulvicoma_Hance"
"283","Anaxagorea_acuminata_-Dunal-_A.DC."
"284","Cryptocarya_gracilis_Schltr."
"285","Lomatia_hirsuta_-Lam.-_Diels"
"286","Pseudowintera_axillaris_-J.R.Forst._&_G.Forst.-_Dandy"
"287","Hedyosmum_peruvianum_Todzia"
"288","Tasmannia_stipitata_-Vickery-_A.C.Sm."
"289","Chlorocardium_venenosum_-Kosterm._&_Pinkley-_Rohwer-_H.G.Richt._&_van_der_Werff"
"290","Piper_graeffei_Warb."
"291","Magnolia_compressa_Maxim."
"292","Otoba_parvifolia_-Markgr.-_A.H.Gentry"
"293","Beilschmiedia_costaricensis_-Mez_&_Pittier-_C.K.Allen"
"294","Ascarina_philippinensis_C.B.Rob."
"295","Tasmannia_membranea_-F.Muell.-_A.C.Sm."
"296","Delosperma_nakurense_-Engl.-_Herre"
"297","Citronella_suaveolens_-Blume-_R.A.Howard"
"298","Nestronia_umbellula_-Raf.-_Raf."
"299","Peltophorum_africanum_Sond."
"300","Cissampelos_andromorpha_DC."
"301","Tetracera_masuiana_De_Wild._&_T.Durand"
"302","Platanus_racemosa_Nutt."
"303","Persea_lingue_-Ruiz_&_Pav.-_Nees"
"304","Erisma_floribundum_Rudge"
"305","Quercus_guyavifolia_H.Lév."
"306","Piper_leucophyllum_-Miq.-_C.DC."
"307","Aristolochia_albida_Duch."
"308","Misodendrum_linearifolium_DC."
"309","Fortunearia_sinensis_Rehder_&_E.H.Wilson"
"310","Fallopia_aubertii_-L.Henry-_Holub"
"311","Exbucklandia_populnea_-R.Br._ex_Griff.-_R.W.Br."
"312","Almeidea_albiflora_Bruniera_&_Groppo"
"313","Mauloutchia_chapelieri_Warb."
"314","Curtisia_dentata_-Burm.fil.-_C.A.Sm."
"315","Pangium_edule_Reinw."
"316","Meliosma_alba_-Schltdl.-_Walp."
"317","Streptosolen_jamesonii_-Benth.-_Miers"
"318","Cissus_granulosa_Ruiz_&_Pav."
"319","Doliocarpus_multiflorus_Standl."
"320","Soyauxia_talbotii_Baker_fil."
"321","Ternstroemia_brasiliensis_Cambess."
"322","Sarcococca_saligna_-D.Don-_Müll.Arg."
"323","Hedyosmum_scabrum_-Ruiz_&_Pav.-_Solms"
"324","Bertholletia_excelsa_Bonpl."
"325","Ampelocissus_erdvendbergiana_Planch."
"326","Pleogyne_australis_-Benth.-_Benth."
"327","Myricaria_longifolia_-Willd.-_Ehrenb."
"328","Tetrastigma_trifoliolatum_Merr."
"329","Roupala_monosperma_-Ruiz_&_Pav.-_I.M.Johnst."
"330","Heisteria_parvifolia_Sm."
"331","Akebia_trifoliata_-Thunb.-_Koidz."
"332","Nandina_domestica_Thunb."
"333","Davilla_kunthii_A.St.-Hil."
"334","Hedyosmum_cuatrecazanum_Occhioni"
"335","Heisteria_cauliflora_Sm."
"336","Piper_confertinodum_-Trel._&_Yunck.-_M.A.Jaram._&_Callejas"
"337","Wilkiea_hugeliana_-Tul.-_A.DC."
"338","Cymbopetalum_torulosum_G.E.Schatz"
"339","Styloceras_brokawii_A.H.Gentry_&_R.B.Foster"
"340","Cercidiphyllum_japonicum_Siebold_&_Zucc."
"341","Santalum_spicatum_-R.Br.-_A.DC."
"342","Ticodendron_incognitum_Gómez-Laur._&_L.D.Gómez"
"343","Acaena_fissistipula_Bitter"
"344","Fouquieria_splendens_Engelm."
"345","Ampelopsis_denudata_Planch."
"346","Alchemilla_stuhlmannii_Engl."
"347","Aristolochia_zollingeriana_Miq."
"348","Cassinopsis_madagascariensis_Baill."
"349","Berberidopsis_beckleri_-F.Muell.-_Veldkamp"
"350","Pyrularia_pubera_Michx."
"351","Marcgravia_rectiflora_Triana_&_Planch."
"352","Aristolochia_gibertii_Hook."
"353","Piper_cinereum_C.DC."
"354","Aristolochia_tomentosa_Sims"
"355","Cayratia_geniculata_-Blume-_Gagnep."
"356","Trochodendron_aralioides_Siebold_&_Zucc."
"357","Guilfoylia_monostylis_-Benth.-_F.Muell."
"358","Magnistipula_butayei_De_Wild."
"359","Heteropyxis_natalensis_Harv."
"360","Triunia_youngiana_-C.Moore_&_F.Muell.-_L.A.S.Johnson_&_B.G.Briggs"
"361","Turpinia_pomifera_-Roxb.-_DC."
"362","Sladenia_celastrifolia_Kurz"
"363","Anaxagorea_gigantophylla_R.E.Fr."
"364","Hypsophila_dielsiana_Loes."
"365","Magnolia_baillonii_Pierre"
"366","Staphylea_holocarpa_Hemsl."
"367","Lithocarpus_lucidus_-Roxb.-_Rehder"
"368","Clematis_ibarensis_Baker"
"369","Peperomia_abyssinica_Miq."
"370","Anaxagorea_pachypetala_-Diels-_R.E.Fr."
"371","Tinospora_esiangkara_-F.M.Bailey-_Forman"
"372","Casimiroa_edulis_La_Llave_&_Lex."
"373","Proserpinaca_palustris_L."
"374","Galearia_filiformis_-Blume-_Boerl."
"375","Eucommia_ulmoides_Oliv."
"376","Doryphora_sassafras_Endl."
"377","Hypericum_nanum_Poir."
"378","Hibbertia_banksii_-R.Br._ex_DC.-_Benth."
"379","Rosa_laxa_Retz."
"380","Petenaea_cordata_Lundell"
"381","Dilobeia_thouarsii_Roem._&_Schult."
"382","Magnolia_montana_-Blume-_Figlar"
"383","Nyssa_aquatica_L."
"384","Anaxagorea_brevipedicellata_Timmerman"
"385","Hedyosmum_brenesii_Standl."
"386","Lepidobotrys_staudtii_Engl."
"387","Staudtia_kamerunensis_Warb."
"388","Osyridicarpos_schimperianus_-Hochst._ex_A.Rich.-_A.DC."
"389","Horsfieldia_basifissa_W.J.de_Wilde"
"390","Parabaena_sagittata_Miers"
"391","Aphloia_theiformis_-Vahl-_Benn."
"392","Virola_sebifera_Aubl."
"393","Beauprea_montana_-Brongn._&_Gris-_Virot"
"394","Matudaea_trinervia_Lundell"
"395","Crassula_perfoliata_var._minor_-Haw.-_G.D.Rowley"
"396","Wilkiea_pubescens_-Benth.-_Whiffin_&_Foreman"
"397","Peperomia_argyreia_-Miq.-_É.Morren"
"398","Berberis_verruculosa_Hemsl._&_E.H.Wilson"
"399","Fissistigma_oldhamii_-Hemsl.-_Merr."
"400","Cinnamosma_madagascariensis_Danguy"
"401","Liquidambar_formosana_Hance"
"402","Palmeria_scandens_F.Muell."
"403","Beilschmiedia_madagascariensis_-Baill.-_Kosterm."
"404","Dillenia_aurea_Sm."
"405","Cyphostemma_macrocarpum_Desc."
"406","Buxus_vahlii_Baill."
"407","Crossopetalum_ilicifolium_-Poir.-_Kuntze"
"408","Barbeuia_madagascariensis_Steud."
"409","Anaxagorea_brevipes_Benth."
"410","Meliosma_clandestina_J.F.Morales"
"411","Cremastosperma_panamense_Maas"
"412","Pentadiplandra_brazzeana_Baill."
"413","Tasmannia_piperita_-Hook.fil.-_Miers"
"414","Panopsis_yolombo_-Posada-_Killip"
"415","Telephium_imperati_L."
"416","Visnea_mocanera_L.fil."
"417","Berberidopsis_corallina_Hook.fil."
"418","Erythropalum_scandens_Blume"
"419","Ribes_fasciculatum_var._chinense_Maxim."
"420","Kalanchoe_pubescens_Baker"
"421","Horsfieldia_spicata_-Roxb.-_J.Sinclair"
"422","Panda_oleosa_Pierre"
"423","Meliosma_dentata_-Liebm.-_Urb."
"424","Phaulothamnus_spinescens_A.Gray"
"425","Liriodendron_tulipifera_L."
"426","Nitraria_retusa_-Forssk.-_Asch."
"427","Berberis_nevinii_A.Gray_ex_A.Gray_&_S.Watson"
"428","Drimys_confertifolia_Phil."
"429","Iryanthera_lancifolia_Ducke"
"430","Arcangelisia_flava_-L.-_Merr."
"431","Magnolia_maudiae_-Dunn-_Figlar"
"432","Pterandra_arborea_Ducke"
"433","Hugonia_penicillanthemum_Baill._ex_Pancher_&_Sebert"
"434","Huertea_glandulosa_Ruiz_&_Pav."
"435","Blastus_cochinchinensis_Lour."
"436","Buxus_citrifolia_-Willd.-_Spreng."
"437","Rinorea_bullata_H.Perrier"
"438","Hedycarya_cupulata_Baill."
"439","Thottea_tomentosa_-Blume-_Ding_Hou"
"440","Aphananthe_cuspidata_-Blume-_Planch."
"441","Kirkia_acuminata_Oliv."
"442","Cardionema_ramosissima_-Weinm.-_A.Nelson_&_J.F.Macbr."
"443","Pelargonium_graveolens_-Thunb.-_L'Hér."
"444","Aristolochia_triactina_Hook.fil."
"445","Uvariastrum_insculptum_-Engl._&_Diels-_Sprague_&_Hutch."
"446","Persoonia_katerae_P.H.Weston_&_L.A.S.Johnson"
"447","Montinia_caryophyllacea_Thunb."
"448","Purdiaea_nutans_Planch."
"449","Pelargonium_myrrhifolium_-L.-_L'Hér."
"450","Trigonia_boliviana_Warm."
"451","Aethionema_grandiflorum_Boiss._&_Hohen."
"452","Helinus_integrifolius_-Lam.-_Kuntze"
"453","Ximenia_caffra_Sond."
"454","Beaupreopsis_paniculata_-Brongn._&_Gris-_Virot"
"455","Alloxylon_wickhamii_-W.Hill_&_F.Muell.-_P.H.Weston_&_Crisp"
"456","Myricaria_bracteata_Royle"
"457","Strombosia_javanica_Blume"
"458","Beirnaertia_cabindensis_-Exell_&_Mendonça-_Troupin"
"459","Ranunculus_nipponicus_Nakai"
"460","Hedyosmum_cumbalense_H.Karst."
"461","Oncotheca_balansae_Baill."
"462","Peridiscus_lucidus_Benth."
"463","Aristolochia_californica_Torr."
"464","Primula_suffrutescens_A.Gray"
"465","Tamarix_africana_Poir."
"466","Stegnosperma_halimifolium_Benth."
"467","Stachyurus_chinensis_Franch."
"468","Guaiacum_sanctum_L."
"469","Pelargonium_vitifolium_-L.-_L'Hér."
"470","Akebia_quinata_-Houtt.-_Decne."
"471","Saxifraga_marginata_Sternb."
"472","Cyrilla_racemiflora_L."
"473","Scorodocarpus_borneensis_-Baill.-_Becc."
"474","Austromatthaea_elegans_L.S.Sm."
"475","Soyauxia_floribunda_Hutch."
"476","Hedyosmum_spectabile_Todzia"
"477","Olax_imbricata_Roxb."
"478","Berberis_harrisoniana_Kearney_&_Peebles"
"479","Clematis_polygama_Jacq."
"480","Hedyosmum_angustifolium_-Ruiz_&_Pav.-_Solms"
"481","Pteleocarpa_lamponga_-Miq.-_Bakh."
"482","Sphenocentrum_jollyanum_Pierre"
"483","Sloanea_woollsii_F.Muell."
"484","Viscainoa_geniculata_-Kellogg-_Greene"
"485","Ilex_myrtifolia_Walter"
"486","Itea_chinensis_Hook._&_Arn."
"487","Piper_amalago_L."
"488","Tamarix_gallica_L."
"489","Mezilaurus_synandra_-Mez-_Kosterm."
"490","Hedyosmum_sprucei_Solms"
"491","Piper_carrilloanum_C.DC."
"492","Ophiorrhiza_rugosa_Wall."
"493","Erismadelphus_exsul_Mildbr."
"494","Begonia_annobonensis_A.DC."
"495","Stauntonia_hexaphylla_-Thunb.-_Decne."
"496","Cryptocarya_botelhensis_P.L.R.Moraes"
"497","Plocosperma_buxifolium_Benth."
"498","Meliosma_cuneifolia_var._glabriuscula_Cufod."
"499","Tetrameranthus_duckei_R.E.Fr."
"500","Pycnanthus_angolensis_-Welw.-_Warb."
"501","Escallonia_micrantha_Mattf."
"502","Bubbia_whiteana_A.C.Sm."
"503","Curatella_americana_L."
"504","Casearia_javitensis_Kunth"
"505","Ercilla_volubilis_A.Juss."
"506","Pericampylus_glaucus_-Lam.-_Merr."
"507","Liriodendron_chinense_-Hemsl.-_Sarg."
"508","Horsfieldia_australiana_S.T.Blake"
"509","Bursera_grandifolia_-Schltdl.-_Engl."
"510","Ranunculus_tripartitus_DC."
"511","Podocalyx_loranthoides_Klotzsch"
"512","Buxus_balearica_Lam."
"513","Ochthocosmus_longipedicellatus_Steyerm._&_Luteyn"
"514","Magnolia_mediocris_-Dandy-_Figlar"
"515","Mesembryanthemum_crystallinum_L."
"516","Myristica_hollrungii_Warb."
"517","Ampelocissus_barbata_-Wall.-_Planch."
"518","Erodium_arborescens_-Desf.-_Willd."
"519","Hedyosmum_anisodorum_Todzia"
"520","Ophrypetalum_odoratum_Diels"
"521","Vitis_monticola_Buckley"
"522","Anaxagorea_brachycarpa_R.E.Fr."
"523","Tamarix_parviflora_DC."
"524","Compsoneura_mutisii_A.C.Sm."
"525","Tetrastigma_siamense_Gagnep._&_Craib"
"526","Aristolochia_baetica_L."
"527","Virola_multiflora_-Standl.-_A.C.Sm."
"528","Philacra_auriculata_Dwyer"
"529","Piper_capense_L.fil."
"530","Decarydendron_ranomafanensis_Lorence_&_Razafim."
"531","Aristolochia_pichinchensis_Pfeifer"
"532","Laurelia_sempervirens_-Ruiz_&_Pav.-_Tul."
"533","Frankenia_laevis_L."
"534","Pseudowintera_colorata_-Raoul-_Dandy"
"535","Neobalanocarpus_heimii_-King-_P.S.Ashton"
"536","Spondias_pinnata_-L.fil.-_Kurz"
"537","Drepananthus_kingii_-Boerl._ex_Koord.-_Survesw._&_R.M.K.Saunders"
"538","Sesuvium_verrucosum_Raf."
"539","Hibbertia_baudouinii_Brongn._&_Gris"
"540","Muraltia_heisteria_-L.-_DC."
"541","Stachyurus_praecox_Siebold_&_Zucc."
"542","Bauhinia_galpinii_N.E.Br."
"543","Cantua_buxifolia_Juss._ex_Lam."
"544","Basistemon_silvaticus_-Herzog-_Baehni_&_J.F.Macbr."
"545","Canacomyrica_monticola_Guillaumin"
"546","Itea_macrophylla_Wall."
"547","Guiera_senegalensis_J.F.Gmel."
"548","Guamatela_tuerckheimii_Donn.Sm."
"549","Mastixia_eugenioides_K.M.Matthew"
"550","Piper_squamulosum_C.DC."
"551","Memecylon_wightii_Thwaites"
"552","Leucadendron_rubrum_Burm.fil."
"553","Levieria_acuminata_-F.Muell.-_Perkins"
"554","Olax_latifolia_Engl."
"555","Dendrobangia_boliviana_Rusby"
"556","Lacunaria_oppositifolia_Pires"
"557","Aristolochia_praevenosa_F.Muell."
"558","Davilla_angustifolia_A.St.-Hil."
"559","Leea_setuligera_C.B.Clarke"
