"","(Intercept)","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"61",0.239,NA,NA,0,0,0,0,NA,7,-402.168,818.408,42.159,0
"122",0.34,0,NA,NA,0,0,0,0.033,8,-401.329,818.75,42.501,0
"69",0.406,NA,NA,0,NA,NA,NA,0.033,5,-404.554,819.146,42.897,0
"62",0.174,0,NA,0,0,0,0,NA,8,-401.672,819.436,43.187,0
"15",0.542,NA,-0.007,0,0.001,NA,NA,NA,6,-404.971,821.995,45.746,0
"75",0.364,NA,-0.008,NA,0.001,NA,NA,0.033,6,-405.175,822.402,46.153,0
"34",0.355,0,NA,NA,NA,NA,0,NA,5,-406.981,824,47.75,0
"7",0.583,NA,-0.006,0,NA,NA,NA,NA,5,-407.146,824.33,48.081,0
"50",0.331,0,NA,NA,NA,0,0,NA,6,-406.863,825.779,49.53,0
"42",0.351,0,NA,NA,0,NA,0,NA,6,-406.903,825.86,49.611,0
"2",0.506,0,NA,NA,NA,NA,NA,NA,4,-409.361,826.747,50.498,0
"58",0.324,0,NA,NA,0,0,0,NA,7,-406.761,827.594,51.345,0
"10",0.482,0,NA,NA,0,NA,NA,NA,5,-408.944,827.926,51.676,0
"6",0.511,0,NA,0,NA,NA,NA,NA,5,-408.952,827.942,51.693,0
"18",0.513,0,NA,NA,NA,0,NA,NA,5,-409.302,828.641,52.392,0
"14",0.487,0,NA,0,0,NA,NA,NA,6,-408.508,829.07,52.821,0
"22",0.528,0,NA,0,NA,0,NA,NA,6,-408.709,829.47,53.221,0
"26",0.486,0,NA,NA,0,0,NA,NA,6,-408.929,829.91,53.661,0
"30",0.502,0,NA,0,0,0,NA,NA,7,-408.369,830.808,54.559,0
"5",0.504,NA,NA,0,NA,NA,NA,NA,4,-411.757,831.54,55.29,0
"13",0.47,NA,NA,0,0,NA,NA,NA,5,-410.814,831.666,55.416,0
"83",0.547,NA,-0.012,NA,NA,0,NA,0.034,6,-409.833,831.719,55.47,0
"27",0.58,NA,-0.013,NA,0.001,0,NA,NA,6,-410.094,832.242,55.993,0
"21",0.528,NA,NA,0,NA,0,NA,NA,5,-411.233,832.505,56.255,0
"29",0.492,NA,NA,0,0,0,NA,NA,6,-410.532,833.118,56.868,0
"11",0.493,NA,-0.01,NA,0.001,NA,NA,NA,5,-412.055,834.149,57.899,0
"67",0.444,NA,-0.008,NA,NA,NA,NA,0.029,5,-413.454,836.946,60.697,0
"121",0.058,NA,NA,NA,0.001,0,0,0.034,7,-413.914,841.9,65.65,0
"105",0.097,NA,NA,NA,0.001,NA,0,0.04,6,-414.963,841.98,65.731,0
"73",0.178,NA,NA,NA,0.001,NA,NA,0.044,5,-416.071,842.181,65.931,0
"89",0.175,NA,NA,NA,0.001,0,NA,0.042,6,-415.764,843.58,67.331,0
"19",0.639,NA,-0.013,NA,NA,0,NA,NA,5,-416.874,843.786,67.537,0
"3",0.552,NA,-0.01,NA,NA,NA,NA,NA,4,-418.815,845.656,69.407,0
"113",0.046,NA,NA,NA,NA,0,0,0.026,6,-418.203,848.46,72.211,0
"97",0.096,NA,NA,NA,NA,NA,0,0.034,5,-419.982,850.002,73.753,0
"57",0.039,NA,NA,NA,0.001,0,0,NA,6,-419.63,851.313,75.064,0
"49",0.033,NA,NA,NA,NA,0,0,NA,5,-421.907,853.852,77.602,0
"65",0.26,NA,NA,NA,NA,NA,NA,0.04,4,-423.862,855.75,79.501,0
"81",0.256,NA,NA,NA,NA,0,NA,0.038,5,-423.548,857.135,80.886,0
"41",0.126,NA,NA,NA,0.001,NA,0,NA,5,-424.703,859.443,83.194,0
"33",0.122,NA,NA,NA,NA,NA,0,NA,4,-427.257,862.539,86.29,0
"25",0.278,NA,NA,NA,0.001,0,NA,NA,5,-426.39,862.817,86.568,0
"9",0.307,NA,NA,NA,0.001,NA,NA,NA,4,-429.211,866.448,90.198,0
"17",0.34,NA,NA,NA,NA,0,NA,NA,4,-432.271,872.568,96.319,0
"1",0.367,NA,NA,NA,NA,NA,NA,NA,3,-434.807,875.629,99.379,0
