"sp","lma","se","bio_1","bio_1_se","bio_2","bio_2_se","bio_3","bio_3_se","bio_4","bio_4_se","bio_5","bio_5_se","bio_6","bio_6_se","bio_7","bio_7_se","bio_8","bio_8_se","bio_9","bio_9_se","bio_10","bio_10_se","bio_11","bio_11_se","bio_12","bio_12_se","bio_13","bio_13_se","bio_14","bio_14_se","bio_15","bio_15_se","bio_16","bio_16_se","bio_17","bio_17_se","bio_18","bio_18_se","bio_19","bio_19_se","alt","alt_se","ai","ai_se","wind","wind_se","srad","srad_se","et0","et0_se"
"Cymbopetalum_torulosum",-1.96030291100675,0.098346807977084,0.773824966547429,0.876289686582071,-0.355398688436337,0.412018398283052,0.906924778165911,1.21559846672334,-0.818833159261761,3.50487676231771,0.508924020950347,0.758848482719532,0.897176904739233,0.999521008199212,-0.806359569111079,0.367789505710448,0.562562914901689,0.966402946024561,0.861281445392074,0.95793217953797,0.562302945840392,0.910902437605825,0.855865761039206,0.826668406039872,1.56992023481988,127.027701848994,1.36849127065526,3.53291402124103,0.130323795463956,11.7110267759983,-0.0656878604034557,5.33330716099278,1.41999382467804,11.4616914271136,0.12836066009569,39.231506612812,-0.293377121399038,17.7836795759275,1.66671497106384,24.4138697677578,-0.474706909234273,171.812236014914,0.867081597402904,438.755605641092,0.0531915610944522,0.173836947105721,1.49445342008183,96.3847541540327,0.726063587899031,15.7621205567159
"Trigynaea_duckei",-0.896598172797294,0.0126356047237059,0.93604162654617,0.115522882029643,0.54479509208981,0.214368272897196,0.799057275259572,1.08994196942142,-0.838421103124864,5.30826110454736,0.980053571862972,0.333421796886756,0.779178948009172,0.246949664261705,-0.431233953356384,0.491488631829188,0.732831293671302,0.0528970691379392,0.848448034764119,0.114033094181509,0.749285933222442,0.21702273658056,0.966444657804862,0.0956200449891954,0.0979922954721019,96.571672865287,-0.0355048899041772,7.96919067408981,-0.361737168179972,5.89508269662097,0.142204805727335,3.63662688211019,0.062967083529064,30.4877024388523,-0.365531849064894,19.4234909323736,-0.2080614627502,46.3577393754268,-0.664653787130906,14.9962662019584,-0.703923753698792,8.71963301980078,0.332058267430848,981.349617618512,-1.56980329795423,0.0278709605449339,-0.804780223457485,274.591023905963,-0.538632536196714,32.8111566391677
"Guatteria_blainii",0.215154083542903,0.00776501622731446,0.44725360366001,0.113240040592566,0.395725510775896,0.329746005320921,0.59337128526433,1.31665095892697,-0.554947832053102,3.24965032039057,0.200071540160471,0.12122789904893,0.438665039039525,0.17667291140245,-0.418645213303717,0.218473613349782,0.451107465076206,0.130303717647218,0.327646381215715,0.11216384196072,0.211832346368004,0.144594910993516,0.514117543559488,0.107216765061941,0.130083007265473,83.1277330377775,-0.0321593867416052,10.3743915484235,0.100411274877699,2.61151297144012,-0.309109415893473,0.472399297268378,-0.0467002302427246,39.1748899168843,0.024670520050927,8.94248287669594,0.377860229878121,32.6748833203732,-0.512917727191362,10.4063442187927,-0.185669357556931,28.0627867468646,-0.229574531908238,508.943584299871,0.672170934581739,0.14380119960468,1.11756299737319,147.191997001718,0.685288501445626,3.19499608763454
"Guatteria_wachenheimii",-0.0594531110237295,0.0585579728586139,0.992895638456116,0.122582834868161,-0.536046429411589,0.0520379981534566,0.961521070687299,0.26014176979644,-0.825804373542988,0.677451026516933,0.859462825318565,0.0977683969083553,1.10938997479846,0.169947046656984,-0.881993661657792,0.0736885853037472,0.728129111762211,0.0955512620437373,1.09547438320607,0.112236622730667,0.8771492476027,0.112236622730667,1.00446753281102,0.11692642300903,0.742926461652758,20.3012468828887,0.518175883501511,2.88675134594813,0.212583227076162,3.32290033956281,-0.231508524645337,1.05442200916133,0.71172575656857,3.04480431774085,0.169290978534413,11.1336576799062,-1.1491588050766,11.1336576799062,1.51592874561531,44.6262254733694,-0.723121023922138,32.6103095917022,0.400661872639192,233.61412048861,-0.775472111068588,0.00311098328230832,0.423692343426793,124.414094074431,0.321654943566089,10.8646981857144
"Guatteria_pittieri",-0.423287533344182,0.0826145051389231,-0.00324415090298685,0.407782364253577,-0.439680544103751,0.145574845566232,1.59288805648455,0.505268150971044,-0.975839607658024,2.01068734456765,-0.996090647685334,0.395343707659925,0.450749586942128,0.483143434205255,-1.03110469185533,0.13282663940565,-0.202315367910689,0.467034259549008,0.193385381830843,0.387556346076844,-0.742295762455449,0.436862800207871,0.378094237683227,0.391954389053516,0.497789079897844,113.548516612944,0.18989838567412,12.4839480266995,0.476187314742552,7.88293251271378,-0.515867594081035,4.56723164477188,0.245480272873102,43.4915580888981,0.711617697847485,30.5624360940027,0.885619653698162,59.9386405000981,0.464283870095348,51.8665655793788,0.876651494690016,111.560218230634,0.940690127399167,1303.24872114523,-1.02757529815479,0.0932203012713773,-0.923205809450613,329.19494100272,-0.935855407097293,36.9545751565351
"Xylopia_staudtii",-0.386633278226255,0.0356617592918556,0.409677167209592,1.69623127557625,0.352111281142467,2.43810431774983,-0.0659970624093495,0.290213083602341,-0.413688953201323,22.4501601657745,0.407755388531577,0.0339406885184339,0.216249148601191,4.19880020964784,-0.0517939067857535,4.16485985830421,0.338755330335203,1.53819273195275,0.198945733535096,2.02680418131265,0.183295715713318,1.57779121341525,0.405315561012333,2.02680418131265,-0.396484823153525,190.565277529775,0.0456235617881969,37.8302127934803,-1.14469739452525,0.353553390593274,1.24246442945334,7.27549823458188,-0.171351159558915,39.2444263558534,-1.20528554903268,3.88908729652601,-0.200186171182616,137.885822331377,-1.18575673476366,3.88908729652601,0.0976162030422548,368.402632998191,-0.176753938523986,3171.37391362167,-0.612635714908844,0.335875695775502,-0.967095738421872,1688.89519917051,-0.320051335044859,209.303607231218
"Xylopia_quintasii",-1.59642621641273,0.0265671151408583,0.956618121552744,0.321696167780376,-0.115369673829346,0.31043298290664,0.583147971125683,1.80657523809959,-0.652554156362916,7.54296054163549,1.01050587934687,0.582928243537359,0.921703792532558,0.194486758404898,-0.584532891673142,0.435193755579105,0.654905349964102,0.250594898168083,0.866752268609444,0.437715978400706,0.931545521942726,0.43549238036906,0.905952905103885,0.309672079119994,0.740825284094858,133.07393433727,1.67571997775147,40.5528297409688,-0.850806879765274,2.79857106395389,0.85474918001063,4.1602208510487,1.31138917867536,110.627808438927,-0.720261275533821,13.2080278618725,-0.110407847312147,31.6510347382199,1.79375533423701,171.739861418367,-0.663659816151699,41.7604118753635,0.662502807038342,626.807211190171,-0.966087486350373,0.0885910317751679,-0.693720597358418,538.077973767197,-0.13957144418553,71.6837499019129
"Xylopia_langsdorfiana",-0.440593463165967,0.0293574411388802,0.447591119677674,0.319134588225355,-0.40778484889876,1.04368965893322,-0.407255669312035,4.50607534905178,-0.128126146350084,22.2432481366182,0.469033622046159,0.609897941081864,0.358536661502582,0.0454036197890109,-0.189396991137859,0.564494321292854,0.77286119468496,0.0593225322160837,0.164774319595453,0.582420218901494,0.620929429499667,0.0593225322160837,0.374993988899277,0.582420218901494,0.141543975763105,357.088924499206,0.0247141670221211,52.3259018078045,0.246234812735701,18.031222920257,-0.277111355163267,4.14459025874355,0.147449171173029,135.410948597224,0.247740755541964,63.9931636973825,1.08939282300942,135.410948597224,-0.427076435065939,63.9931636973825,-0.937023192141066,10.2530483272049,0.247825297890479,3044.80179978927,-0.145431071028316,0.102927493098032,-0.964467388147956,671.132723693682,-0.360157977458044,41.0121933088198
"Xylopia_bocatorena",-0.987028176258561,0.020046972683957,0.651646354355744,0.299350168599583,-0.611532454462965,0.15471133780169,0.928044552740831,0.279897281316574,-0.820790925275155,0.938216075076345,0.208800922841047,0.218794405459489,0.846577751071586,0.363499597418632,-0.896612920953744,0.205310608324146,0.42418226154738,0.245634376418148,0.784775202602076,0.307485282139245,0.376133007899653,0.306413288006939,0.771963660540105,0.299103350604096,1.97377080625126,86.2753035346732,1.2993508719621,9.98558961704315,0.441414009561028,9.58582286504398,-0.574325693865822,1.85734931572215,1.35092041968612,11.1785508899857,0.985168659412947,24.1758557242551,-0.125370901290558,24.6645494586867,2.15920415465478,49.1582343051497,-0.265334433989392,49.9328749422662,1.36460355801467,455.016672222019,-0.070566222223137,0.0996769648641718,1.30923396134498,74.9051029339215,0.589701003694204,6.55041983387325
"Xylopia_hypolampra",-0.356927967939756,0.00568543262351371,0.90811539232462,0.0234158900379858,-0.718306319657425,0.0264851717480242,0.624151788784437,0.244883284305335,-0.703629389774011,1.04820505847391,0.607724684285724,0.0333166235688503,0.960211114314325,0.0241729485163986,-0.831486162588979,0.0240763051516332,0.746311082929368,0.033144345286205,0.722849266952308,0.00935946105357686,0.753330675065637,0.0295804897500319,0.870194737415551,0.00935946105357686,-0.0405580792548313,23.3461274447534,0.227535296253057,7.79790303008871,-1.07178562559625,0.375,0.53820730274421,0.686683176980081,0.0414480612046578,15.7405725753544,-1.00404481670896,2.07163381577601,0.235908099372402,4.65642477300629,-1.08068129419519,2.07163381577601,-0.554156286001303,3.28110118710167,0.528744129221401,191.957080706426,-1.47787280954017,0.00266362614174668,-1.90106972149546,18.87454297184,-1.22662856459288,2.24884229475227
